team_name,category,model,livery,championship_names,livery_id,model_folder
Zakspeed,F-Classic_Gen2,Formula Classic Gen2 Model1,Aero-Flight G.P. #14,Formula 1 (Classic Gen 2),51,formula_classic_g2m1
Zakspeed,F-Classic_Gen2,Formula Classic Gen2 Model1,Aero-Flight G.P. #99,Formula 1 (Classic Gen 2),52,formula_classic_g2m1
Williams,F-Classic_Gen2,Formula Classic Gen2 Model1,Lione G.P. #15,Formula 1 (Classic Gen 2),53,formula_classic_g2m1
Williams,F-Classic_Gen2,Formula Classic Gen2 Model1,Lione G.P. #16,Formula 1 (Classic Gen 2),54,formula_classic_g2m1
Tyrrell Racing Organisation,F-Classic_Gen2,Formula Classic Gen2 Model1,Didcot Racing #17,Formula 1 (Classic Gen 2),55,formula_classic_g2m1
Tyrrell Racing Organisation,F-Classic_Gen2,Formula Classic Gen2 Model1,Didcot Racing #18,Formula 1 (Classic Gen 2),56,formula_classic_g2m1
Minardi,F-Classic_Gen2,Formula Classic Gen2 Model1,Scuderia Faenza Girardi #23,Formula 1 (Classic Gen 2),57,formula_classic_g2m1
Minardi,F-Classic_Gen2,Formula Classic Gen2 Model1,Scuderia Faenza Girardi #24,Formula 1 (Classic Gen 2),58,formula_classic_g2m1
Benetton Formula,F-Classic_Gen2,Formula Classic Gen2 Model2,United Racing #3,Formula 1 (Classic Gen 2),51,formula_classic_g2m2
Benetton Formula,F-Classic_Gen2,Formula Classic Gen2 Model2,United Racing #4,Formula 1 (Classic Gen 2),52,formula_classic_g2m2
EuroBrun,F-Classic_Gen2,Formula Classic Gen2 Model2,Deutsch Speed Racing #9,Formula 1 (Classic Gen 2),53,formula_classic_g2m2
EuroBrun,F-Classic_Gen2,Formula Classic Gen2 Model2,Deutsch Speed Racing #10,Formula 1 (Classic Gen 2),54,formula_classic_g2m2
Larrousse,F-Classic_Gen2,Formula Classic Gen2 Model2,Dial Racing #27,Formula 1 (Classic Gen 2),55,formula_classic_g2m2
Larrousse,F-Classic_Gen2,Formula Classic Gen2 Model2,Dial Racing #28,Formula 1 (Classic Gen 2),56,formula_classic_g2m2
Team Lotus,F-Classic_Gen2,Formula Classic Gen2 Model2,EuroUno Racing #32,Formula 1 (Classic Gen 2),57,formula_classic_g2m2
Team Lotus,F-Classic_Gen2,Formula Classic Gen2 Model2,EuroUno Racing #33,Formula 1 (Classic Gen 2),58,formula_classic_g2m2
Leyton House Racing,F-Classic_Gen2,Formula Classic Gen2 Model3,Newcyan Racing #5,Formula 1 (Classic Gen 2),51,formula_classic_g2m3
Leyton House Racing,F-Classic_Gen2,Formula Classic Gen2 Model3,Newcyan Racing #6,Formula 1 (Classic Gen 2),52,formula_classic_g2m3
Arrows,F-Classic_Gen2,Formula Classic Gen2 Model3,Team Hornsey #19,Formula 1 (Classic Gen 2),53,formula_classic_g2m3
Arrows,F-Classic_Gen2,Formula Classic Gen2 Model3,Team Hornsey #20,Formula 1 (Classic Gen 2),54,formula_classic_g2m3
Ligier,F-Classic_Gen2,Formula Classic Gen2 Model3,Bolt G.P. #25,Formula 1 (Classic Gen 2),55,formula_classic_g2m3
Ligier,F-Classic_Gen2,Formula Classic Gen2 Model3,Bolt G.P. #26,Formula 1 (Classic Gen 2),56,formula_classic_g2m3
Scuderia Ferrari,F-Classic_Gen2,Formula Classic Gen2 Model3,Scuderia Forza #35,Formula 1 (Classic Gen 2),57,formula_classic_g2m3
Scuderia Ferrari,F-Classic_Gen2,Formula Classic Gen2 Model3,Scuderia Forza #36,Formula 1 (Classic Gen 2),58,formula_classic_g2m3
McLaren Racing,F-Classic_Gen2,McLaren Honda MP4/4,McLaren MP4/4 #11,Formula 1 (Classic Gen 2),51,mclaren_mp44
McLaren Racing,F-Classic_Gen2,McLaren Honda MP4/4,McLaren MP4/4 #12,Formula 1 (Classic Gen 2),52,mclaren_mp44
Footwork Arrows,F-Classic_Gen3,Formula Classic Gen3 Model1,Team Hornsey #14,Formula 1 (Classic Gen 3),51,formula_classic_g3m1
Footwork Arrows,F-Classic_Gen3,Formula Classic Gen3 Model1,Team Hornsey #99,Formula 1 (Classic Gen 3),52,formula_classic_g3m1
Brabham,F-Classic_Gen3,Formula Classic Gen3 Model1,AntLar Racing #23,Formula 1 (Classic Gen 3),53,formula_classic_g3m1
Brabham,F-Classic_Gen3,Formula Classic Gen3 Model1,AntLar Racing #24,Formula 1 (Classic Gen 3),54,formula_classic_g3m1
Scuderia Ferrari,F-Classic_Gen3,Formula Classic Gen3 Model1,Scuderia Forza #35,Formula 1 (Classic Gen 3),55,formula_classic_g3m1
Scuderia Ferrari,F-Classic_Gen3,Formula Classic Gen3 Model1,Scuderia Forza #36,Formula 1 (Classic Gen 3),56,formula_classic_g3m1
Team Lotus,F-Classic_Gen3,Formula Classic Gen3 Model2,EuroUno Racing #17,Formula 1 (Classic Gen 3),51,formula_classic_g3m2
Team Lotus,F-Classic_Gen3,Formula Classic Gen3 Model2,EuroUno Racing #18,Formula 1 (Classic Gen 3),52,formula_classic_g3m2
Benetton Formula,F-Classic_Gen3,Formula Classic Gen3 Model2,United Racing #19,Formula 1 (Classic Gen 3),53,formula_classic_g3m2
Benetton Formula,F-Classic_Gen3,Formula Classic Gen3 Model2,United Racing #20,Formula 1 (Classic Gen 3),54,formula_classic_g3m2
