team_name,category,model,livery,championship_names,livery_id,model_folder
Williams Racing,F-V10_Gen3,Formula V10 Gen3 (M),TAB Racing #3,Formula 1 (V10 Gen 3),51,formula_v10_g3_m
Williams Racing,F-V10_Gen3,Formula V10 Gen3 (M),TAB Racing #4,Formula 1 (V10 Gen 3),52,formula_v10_g3_m
Hesketh Racing,F-V10_Gen3,Formula V10 Gen3 (M),Didcot Racing #7,Formula 1 (V10 Gen 3),53,formula_v10_g3_m
Hesketh Racing,F-V10_Gen3,Formula V10 Gen3 (M),Didcot Racing #8,Formula 1 (V10 Gen 3),54,formula_v10_g3_m
British Racing Motors,F-V10_Gen3,Formula V10 Gen3 (M),Zir-Win Motorsport #11,Formula 1 (V10 Gen 3),55,formula_v10_g3_m
British Racing Motors,F-V10_Gen3,Formula V10 Gen3 (M),Zir-Win Motorsport #12,Formula 1 (V10 Gen 3),56,formula_v10_g3_m
Red Bull Racing,F-V10_Gen3,Formula V10 Gen3 (M),energyX Racing #14,Formula 1 (V10 Gen 3),57,formula_v10_g3_m
Red Bull Racing,F-V10_Gen3,Formula V10 Gen3 (M),energyX Racing #15,Formula 1 (V10 Gen 3),58,formula_v10_g3_m
Honda Racing,F-V10_Gen3,Formula V10 Gen3 (M),TECH-J Racing #16,Formula 1 (V10 Gen 3),59,formula_v10_g3_m
Honda Racing,F-V10_Gen3,Formula V10 Gen3 (M),TECH-J Racing #17,Formula 1 (V10 Gen 3),60,formula_v10_g3_m
Scuderia Ferrari,F-V10_Gen3,Formula V10 Gen3 (B),Scuderia Forza #1,Formula 1 (V10 Gen 3),51,formula_v10_g3_b
Scuderia Ferrari,F-V10_Gen3,Formula V10 Gen3 (B),Scuderia Forza #2,Formula 1 (V10 Gen 3),52,formula_v10_g3_b
Team Lotus,F-V10_Gen3,Formula V10 Gen3 (B),Paddy G.P. #18,Formula 1 (V10 Gen 3),53,formula_v10_g3_b
Team Lotus,F-V10_Gen3,Formula V10 Gen3 (B),Paddy G.P. #19,Formula 1 (V10 Gen 3),54,formula_v10_g3_b
Martini Racing,F-V10_Gen3,Formula V10 Gen3 (B),Scuderia Faenza Girardi #20,Formula 1 (V10 Gen 3),55,formula_v10_g3_b
Martini Racing,F-V10_Gen3,Formula V10 Gen3 (B),Scuderia Faenza Girardi #21,Formula 1 (V10 Gen 3),56,formula_v10_g3_b
Renault F1 Team,F-V10_Gen3,Renault R25,Renault R25 #5,Formula 1 (V10 Gen 3),51,renault_r25
Renault F1 Team,F-V10_Gen3,Renault R25,Renault R25 #6,Formula 1 (V10 Gen 3),52,renault_r25
McLaren Racing,F-V8_Gen1,Formula V8 Gen1 (M),McLean G.P. #3,Formula 1 (V8 Gen 1),51,formula_v8_g1_m
McLaren Racing,F-V8_Gen1,Formula V8 Gen1 (M),McLean G.P. #4,Formula 1 (V8 Gen 1),52,formula_v8_g1_m
Williams Racing,F-V8_Gen1,Formula V8 Gen1 (M),Hoshino #11,Formula 1 (V8 Gen 1),53,formula_v8_g1_m
Williams Racing,F-V8_Gen1,Formula V8 Gen1 (M),Hoshino #12,Formula 1 (V8 Gen 1),54,formula_v8_g1_m
Red Bull Racing,F-V8_Gen1,Formula V8 Gen1 (M),energyX Racing #14,Formula 1 (V8 Gen 1),55,formula_v8_g1_m
Red Bull Racing,F-V8_Gen1,Formula V8 Gen1 (M),energyX Racing #15,Formula 1 (V8 Gen 1),56,formula_v8_g1_m
British Racing Motors,F-V8_Gen1,Formula V8 Gen1 (M),Deutsch Zir-Win Motorsport #16,Formula 1 (V8 Gen 1),57,formula_v8_g1_m
British Racing Motors,F-V8_Gen1,Formula V8 Gen1 (M),Deutsch Zir-Win Motorsport #17,Formula 1 (V8 Gen 1),58,formula_v8_g1_m
Racing Bulls,F-V8_Gen1,Formula V8 Gen1 (M),energyX Faenza #20,Formula 1 (V8 Gen 1),59,formula_v8_g1_m
Racing Bulls,F-V8_Gen1,Formula V8 Gen1 (M),energyX Faenza #21,Formula 1 (V8 Gen 1),60,formula_v8_g1_m
Scuderia Ferrari,F-V8_Gen1,Formula V8 Gen1 (B),Scuderia Forza #5,Formula 1 (V8 Gen 1),51,formula_v8_g1_b
Scuderia Ferrari,F-V8_Gen1,Formula V8 Gen1 (B),Scuderia Forza #6,Formula 1 (V8 Gen 1),52,formula_v8_g1_b
Honda Racing,F-V8_Gen1,Formula V8 Gen1 (B),TECH-J #7,Formula 1 (V8 Gen 1),53,formula_v8_g1_b
