name,principal,driver_loyalty,expectation_level,performance_rating,engineering_weight,engineering_drag,engineering_power
Red Bull Racing,Laurent Mekies,,,,,,
Mercedes-AMG,Toto Wolff,,,,,,
Scuderia Ferrari,Frédéric Vasseur,,,,,,
McLaren Racing,Zac Brown,,,,,,
Aston Martin,Andy Cowell,,,,,,
Alpine,Steve Nielsen,,,,,,
Audi,Jonathan Wheatley,,,,,,
Racing Bulls,Alan Permane,,,,,,
Haas,Ayao Komatsu,,,,,,
Williams Racing,James Vowles,,,,,,
Brabham Racing Organisation,Jack Brabham,,,,,,
Reg Parnell Racing,Reg Parnell,,,,,,
Team Lotus,Colin Chapman,,,,,,
Honda Racing,Nobuhiko Kawamoto,,,,,,
Martini Racing,John Tanner,,,,,,
Lucky Strike Racing,Georges Reynolds,,,,,,
Copersucar Fittipaldi,Wilson Fittipaldi,,,,,,
Hesketh Racing,Harvey Postlethwaite,,,,,,
Embassy Hill,Graham Hill,,,,,,
British Racing Motors,Alfred Owen,,,,,,
Renault F1 Team,Steve Nielsen,,,,,,
