team_name,category,model,livery,championship_names,livery_id,model_folder
Solari Motorworks,GT2_05,Milano GT36,Milano GT36 #12,British GT Championship,51,milano_gt36
Solari Motorworks,GT2_05,Milano GT36,Milano GT36 #17,British GT Championship,52,milano_gt36
Garnet Motorsport,GT2_05,Milano GT36,Milano GT36 #20,British GT Championship,53,milano_gt36
Garnet Motorsport,GT2_05,Milano GT36,Milano GT36 #25,British GT Championship,54,milano_gt36
Catalyst Motorsports,GT2_05,Milano GT36,Milano GT36 #31,British GT Championship,55,milano_gt36
Catalyst Motorsports,GT2_05,Milano GT36,Milano GT36 #43,British GT Championship,56,milano_gt36
Nova Aero,GT2_05,Milano GT36,Milano GT36 #51,British GT Championship,57,milano_gt36
Nova Aero,GT2_05,Milano GT36,Milano GT36 #64,British GT Championship,58,milano_gt36
Ironwood Performance,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #1,British GT Championship,51,porsche_996_gt3rsr
Ironwood Performance,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #2,British GT Championship,52,porsche_996_gt3rsr
Kaiser-Wolff Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #11,British GT Championship,53,porsche_996_gt3rsr
Kaiser-Wolff Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #40,British GT Championship,54,porsche_996_gt3rsr
Rennsport Global Division,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #52,British GT Championship,55,porsche_996_gt3rsr
Rennsport Global Division,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #61,British GT Championship,56,porsche_996_gt3rsr
Elysium GT Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #66,British GT Championship,57,porsche_996_gt3rsr
Elysium GT Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #71,British GT Championship,58,porsche_996_gt3rsr
Stuttgart Performance Engineering,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #85,British GT Championship,59,porsche_996_gt3rsr
Stuttgart Performance Engineering,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #115,British GT Championship,60,porsche_996_gt3rsr
Blackwood Racing Systems,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #121,British GT Championship,61,porsche_996_gt3rsr
Blackwood Racing Systems,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #155,British GT Championship,62,porsche_996_gt3rsr
Schwarzwald Racing Group,GT2_05,TVR Tuscan T400R GT2,TVR Tuscan T400R GT2 #5,British GT Championship,51,tvr_tuscan_t400r_gt2
Schwarzwald Racing Group,GT2_05,TVR Tuscan T400R GT2,TVR Tuscan T400R GT2 #6,British GT Championship,52,tvr_tuscan_t400r_gt2
Atlantic Racing Union,GT2_05,TVR Tuscan T400R GT2,TVR Tuscan T400R GT2 #7,British GT Championship,53,tvr_tuscan_t400r_gt2
Atlantic Racing Union,GT2_05,TVR Tuscan T400R GT2,TVR Tuscan T400R GT2 #8,British GT Championship,54,tvr_tuscan_t400r_gt2
Ironwood Performance,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #3,Speed World Challenge,51,dodge_viper_gts_r
Ironwood Performance,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #9,Speed World Challenge,52,dodge_viper_gts_r
Circuitus Legacy Racing,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #12,Speed World Challenge,53,dodge_viper_gts_r
Circuitus Legacy Racing,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #32,Speed World Challenge,54,dodge_viper_gts_r
Blackwood Racing Systems,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #36,Speed World Challenge,55,dodge_viper_gts_r
Blackwood Racing Systems,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #40,Speed World Challenge,56,dodge_viper_gts_r
Rennsport Global Division,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #2,Speed World Challenge,51,corvette_c5r
Rennsport Global Division,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #5,Speed World Challenge,52,corvette_c5r
Apex Precision Competizione,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #7,Speed World Challenge,53,corvette_c5r
Apex Precision Competizione,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #50,Speed World Challenge,54,corvette_c5r
Heritage Racing Collective,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #63,Speed World Challenge,55,corvette_c5r
Heritage Racing Collective,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #70,Speed World Challenge,56,corvette_c5r
Palmetto State Racing,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #71,Speed World Challenge,57,corvette_c5r
Palmetto State Racing,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #73,Speed World Challenge,58,corvette_c5r
Exotic Motors Alliance,GT1_05,Saleen S7-R GT1,Saleen S7-R GT1 #90,Speed World Challenge,51,saleen_s7r_gt1
Exotic Motors Alliance,GT1_05,Saleen S7-R GT1,Saleen S7-R GT1 #91,Speed World Challenge,52,saleen_s7r_gt1
Golden Gate Racing Group,GT1_05,Saleen S7-R GT1,Saleen S7-R GT1 #92,Speed World Challenge,53,saleen_s7r_gt1
Golden Gate Racing Group,GT1_05,Saleen S7-R GT1,Saleen S7-R GT1 #93,Speed World Challenge,54,saleen_s7r_gt1
Lone Star Aero-Sport,GT1_05,Saleen S7-R GT1,Saleen S7-R GT1 #94,Speed World Challenge,55,saleen_s7r_gt1
Lone Star Aero-Sport,GT1_05,Saleen S7-R GT1,Saleen S7-R GT1 #95,Speed World Challenge,56,saleen_s7r_gt1
Solari Motorworks,GT2_05,Milano GT36,Milano GT36 #12,Rolex Sports Car Series,51,milano_gt36
Solari Motorworks,GT2_05,Milano GT36,Milano GT36 #17,Rolex Sports Car Series,52,milano_gt36
Garnet Motorsport,GT2_05,Milano GT36,Milano GT36 #20,Rolex Sports Car Series,53,milano_gt36
Garnet Motorsport,GT2_05,Milano GT36,Milano GT36 #25,Rolex Sports Car Series,54,milano_gt36
Maranello Global Partners,GT2_05,Milano GT36,Milano GT36 #31,Rolex Sports Car Series,55,milano_gt36
Maranello Global Partners,GT2_05,Milano GT36,Milano GT36 #43,Rolex Sports Car Series,56,milano_gt36
Scuderia Corsa International,GT2_05,Milano GT36,Milano GT36 #51,Rolex Sports Car Series,57,milano_gt36
Scuderia Corsa International,GT2_05,Milano GT36,Milano GT36 #64,Rolex Sports Car Series,58,milano_gt36
Ironwood Performance,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #1,Rolex Sports Car Series,51,porsche_996_gt3rsr
Ironwood Performance,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #2,Rolex Sports Car Series,52,porsche_996_gt3rsr
Kaiser-Wolff Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #11,Rolex Sports Car Series,53,porsche_996_gt3rsr
Kaiser-Wolff Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #40,Rolex Sports Car Series,54,porsche_996_gt3rsr
Brickyard Performance Lab,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #52,Rolex Sports Car Series,55,porsche_996_gt3rsr
