championship_name,track_id,name,month,week_end,mandatory,type,duration,start_time
Le Mans Endurance Series,Circuit_de_Catalunya_GP_NC,1000 km of Catalunya,4,1,FALSE,laps,215,12:00
Le Mans Endurance Series,Spa_Francorchamps_2005_EC,1000 km of Spa,4,3,TRUE,laps,144,12:00
Le Mans Endurance Series,Donington_GP,1000 km of Donington,5,2,FALSE,laps,249,12:00
Le Mans Endurance Series,Le_Mans_24h_2005,24h Le Mans,6,3,TRUE,time,1440,16:00
Le Mans Endurance Series,Monza_2005,1000 km of Monza,7,2,FALSE,laps,173,12:00
Le Mans Endurance Series,Silverstone_2001,1000 km of Silverstone,8,2,FALSE,laps,195,12:00
Le Mans Endurance Series,Nurb_GP_2020,1000 km of Nürburgring,9,1,TRUE,laps,195,12:00
Le Mans Endurance Series,Interlagos_GP,Mil Milhas Brasil,11,1,FALSE,laps,233,12:00
Le Mans Endurance Series,Hungaroring_GP_2025,1000 km of Hungaroring,10,1,FALSE,laps,229,16:00
American Le Mans Series,Sebring,12 Hours of Sebring,3,3,TRUE,time,720,10:00
American Le Mans Series,Road_Atlanta_2005,Grand Prix of Atlanta,4,2,TRUE,time,165,12:00
American Le Mans Series,Long_Beach,Grand Prix of Long Beach,6,2,TRUE,time,100,16:00
American Le Mans Series,Virginia_Full,VIR 240,7,2,TRUE,time,240,14:00
American Le Mans Series,Road_America_RC,Road America 500,8,3,TRUE,time,165,12:00
American Le Mans Series,Mosport,Grand Prix of Mosport,9,1,TRUE,time,150,15:00
American Le Mans Series,Road_Atlanta_2005,Petit Le Mans,10,1,TRUE,laps,394,12:00
American Le Mans Series,Laguna_Seca_2020,Monterey Sports Car Championships,10,3,TRUE,time,240,12:00
FIA GT Championship,Circuit_de_Catalunya_GP,Barcelona Supercar 500,3,3,FALSE,laps,106,11:00
FIA GT Championship,Monza_2005,Monza Supercar 500,4,2,FALSE,laps,87,12:00
FIA GT Championship,Silverstone_2001_International,Tourist Trophy,5,2,FALSE,laps,139,11:00
FIA GT Championship,Imola_GP_2005,Imola Supercar 500,5,4,FALSE,laps,102,11:00
FIA GT Championship,Donington_GP,Donington Supercar 500,6,3,FALSE,laps,125,11:00
FIA GT Championship,Spa_Francorchamps_2005_EC,Spa 24 Hours,7,4,TRUE,time,1440,16:00
FIA GT Championship,Hockenheim_GP,Hockenheim Supercar 500,8,2,FALSE,laps,110,11:00
FIA GT Championship,Spielberg_2001,A1-Ring Supercar 500,8,4,FALSE,laps,116,12:00
FIA GT Championship,Cascais,Estoril Supercar 500,9,2,FALSE,laps,120,10:00
FIA GT Championship,Nurb_GP_2020,Nürburgring Supercar 500,9,3,FALSE,laps,98,11:00
FIA GT Championship,Hungaroring_GP_2025,Budapest Supercar 500,10,1,FALSE,laps,115,13:00
BFGoodrich Langstreckenmeisterschaft,Nordschleife_2020_24hr,47. ADAC-ACAS-H&R-Cup,4,3,TRUE,time,240,12:00
BFGoodrich Langstreckenmeisterschaft,Nordschleife_2020_24hr,36. Adenauer ADAC Rundstrecken-Trophy,6,2,TRUE,time,240,12:00
BFGoodrich Langstreckenmeisterschaft,Nordschleife_2020_24hr,45. ADAC-Reinoldus Langstreckenrennen,7,1,TRUE,time,240,12:00
BFGoodrich Langstreckenmeisterschaft,Nordschleife_2020_24hr,28. RCM-DMV-Grenzlandrennen,7,3,TRUE,time,240,12:00
BFGoodrich Langstreckenmeisterschaft,Nordschleife_2020_24hr,6h ADAC Ruhr-Pokal-Rennen,8,4,TRUE,time,360,12:00
BFGoodrich Langstreckenmeisterschaft,Nordschleife_2020_24hr,37. ADAC-Barbarossapreis,9,3,TRUE,time,240,12:00
BFGoodrich Langstreckenmeisterschaft,Nordschleife_2020_24hr,29. DMV-250 Meilen Rennen,10,1,TRUE,time,240,12:00
BFGoodrich Langstreckenmeisterschaft,Nordschleife_2020_24hr,30. DMV-Münsterlandpokal,10,3,TRUE,time,240,12:00
BFGoodrich Langstreckenmeisterschaft,Nordschleife_2020_24hr,30. DMV-4-Stunden Rennen,11,1,TRUE,time,240,12:00
Speed World Challenge,Sebring,12 Hours of Sebring Support,3,3,FALSE,laps,21,
Speed World Challenge,Road_Atlanta_2005,Grand Prix of Atlanta Support,4,2,FALSE,laps,30,
