team_name,category,model,livery,championship_names,livery_id,model_folder
Scuderia Ecosse,GT2_05,Milano GT36,Milano GT36 #12,British GT Championship,51,milano_gt36
Cirtek Motorsport,GT2_05,Milano GT36,Milano GT36 #17,British GT Championship,52,milano_gt36
JMB Racing,GT2_05,Milano GT36,Milano GT36 #20,British GT Championship,53,milano_gt36
GPC Sport,GT2_05,Milano GT36,Milano GT36 #25,British GT Championship,54,milano_gt36
Cirtek Motorsport,GT2_05,Milano GT36,Milano GT36 #31,British GT Championship,55,milano_gt36
JMB Racing,GT2_05,Milano GT36,Milano GT36 #43,British GT Championship,56,milano_gt36
GPC Sport,GT2_05,Milano GT36,Milano GT36 #51,British GT Championship,57,milano_gt36
JMB Racing,GT2_05,Milano GT36,Milano GT36 #64,British GT Championship,58,milano_gt36
Seikel Motorsport,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #1,British GT Championship,51,porsche_996_gt3rsr
Sebah Automotive,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #2,British GT Championship,52,porsche_996_gt3rsr
Jens Petersen Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #11,British GT Championship,53,porsche_996_gt3rsr
James Watt Automotive,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #40,British GT Championship,54,porsche_996_gt3rsr
Noble Group,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #52,British GT Championship,55,porsche_996_gt3rsr
Gruppe M Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #61,British GT Championship,56,porsche_996_gt3rsr
Sebah Automotive,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #66,British GT Championship,57,porsche_996_gt3rsr
Bernard Jubin,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #71,British GT Championship,58,porsche_996_gt3rsr
T2M Motorsport,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #85,British GT Championship,59,porsche_996_gt3rsr
In2Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #115,British GT Championship,60,porsche_996_gt3rsr
Tech 9 Motorsport,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #121,British GT Championship,61,porsche_996_gt3rsr
Ice Pol Racing Team,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #155,British GT Championship,62,porsche_996_gt3rsr
Team LNT,GT2_05,TVR Tuscan T400R GT2,TVR Tuscan T400R GT2 #5,British GT Championship,51,tvr_tuscan_t400r_gt2
RaceSport,GT2_05,TVR Tuscan T400R GT2,TVR Tuscan T400R GT2 #6,British GT Championship,52,tvr_tuscan_t400r_gt2
RaceSport,GT2_05,TVR Tuscan T400R GT2,TVR Tuscan T400R GT2 #7,British GT Championship,53,tvr_tuscan_t400r_gt2
RaceSport,GT2_05,TVR Tuscan T400R GT2,TVR Tuscan T400R GT2 #8,British GT Championship,54,tvr_tuscan_t400r_gt2
De Radigues,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #3,Speed World Challenge,51,dodge_viper_gts_r
De Radigues,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #9,Speed World Challenge,52,dodge_viper_gts_r
Pratt & Miller,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #12,Speed World Challenge,53,dodge_viper_gts_r
Pratt & Miller,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #32,Speed World Challenge,54,dodge_viper_gts_r
ACEMCO Motorsports,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #36,Speed World Challenge,55,dodge_viper_gts_r
De Radigues,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #40,Speed World Challenge,56,dodge_viper_gts_r
GLPK Carsport,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #2,Speed World Challenge,51,corvette_c5r
Pacific Coast Motorsports,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #5,Speed World Challenge,52,corvette_c5r
Selleslagh Racing Team,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #7,Speed World Challenge,53,corvette_c5r
GLPK Carsport,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #50,Speed World Challenge,54,corvette_c5r
Pratt & Miller,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #63,Speed World Challenge,55,corvette_c5r
Pratt & Miller,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #70,Speed World Challenge,56,corvette_c5r
Selleslagh Racing Team,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #71,Speed World Challenge,57,corvette_c5r
Selleslagh Racing Team,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #73,Speed World Challenge,58,corvette_c5r
RAM Racing Team,GT1_05,Saleen S7-R GT1,Saleen S7-R GT1 #90,Speed World Challenge,51,saleen_s7r_gt1
Graham Nash Motorsport,GT1_05,Saleen S7-R GT1,Saleen S7-R GT1 #91,Speed World Challenge,52,saleen_s7r_gt1
Graham Nash Motorsport,GT1_05,Saleen S7-R GT1,Saleen S7-R GT1 #92,Speed World Challenge,53,saleen_s7r_gt1
Konrad Motorsport,GT1_05,Saleen S7-R GT1,Saleen S7-R GT1 #93,Speed World Challenge,54,saleen_s7r_gt1
Graham Nash Motorsport,GT1_05,Saleen S7-R GT1,Saleen S7-R GT1 #94,Speed World Challenge,55,saleen_s7r_gt1
ACEMCO Motorsports,GT1_05,Saleen S7-R GT1,Saleen S7-R GT1 #95,Speed World Challenge,56,saleen_s7r_gt1
Flying Lizard Motorsports,GT2_05,Milano GT36,Milano GT36 #12,Rolex Sports Car Series,51,milano_gt36
Flying Lizard Motorsports,GT2_05,Milano GT36,Milano GT36 #17,Rolex Sports Car Series,52,milano_gt36
J3 Racing,GT2_05,Milano GT36,Milano GT36 #20,Rolex Sports Car Series,53,milano_gt36
J3 Racing,GT2_05,Milano GT36,Milano GT36 #25,Rolex Sports Car Series,54,milano_gt36
ZIP Racing,GT2_05,Milano GT36,Milano GT36 #31,Rolex Sports Car Series,55,milano_gt36
The Racers Group,GT2_05,Milano GT36,Milano GT36 #43,Rolex Sports Car Series,56,milano_gt36
The Racers Group,GT2_05,Milano GT36,Milano GT36 #51,Rolex Sports Car Series,57,milano_gt36
In2Racing,GT2_05,Milano GT36,Milano GT36 #64,Rolex Sports Car Series,58,milano_gt36
Alex Job Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #1,Rolex Sports Car Series,51,porsche_996_gt3rsr
Petersen / White Lightning,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #2,Rolex Sports Car Series,52,porsche_996_gt3rsr
British American Motorsport,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #11,Rolex Sports Car Series,53,porsche_996_gt3rsr
Flying Lizard Motorsports,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #40,Rolex Sports Car Series,54,porsche_996_gt3rsr
Flying Lizard Motorsports,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #52,Rolex Sports Car Series,55,porsche_996_gt3rsr
J3 Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #61,Rolex Sports Car Series,56,porsche_996_gt3rsr
Alex Job Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #66,Rolex Sports Car Series,57,porsche_996_gt3rsr
ZIP Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #71,Rolex Sports Car Series,58,porsche_996_gt3rsr
The Racers Group,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #85,Rolex Sports Car Series,59,porsche_996_gt3rsr
The Racers Group,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #115,Rolex Sports Car Series,60,porsche_996_gt3rsr
J3 Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #121,Rolex Sports Car Series,61,porsche_996_gt3rsr
Alex Job Racing,GT2_05,Porsche 996 GT3 RSR,Porsche 996 GT3 RSR #155,Rolex Sports Car Series,62,porsche_996_gt3rsr
Duller Motorsport,GTR_04,BMW M3 E46 GTR,BMW M3 E46 GTR #01,Rolex Sports Car Series,51,bmw_m3_gtr
Team Schnitzer,GTR_04,BMW M3 E46 GTR,BMW M3 E46 GTR #02,Rolex Sports Car Series,52,bmw_m3_gtr
Team Schnitzer,GTR_04,BMW M3 E46 GTR,BMW M3 E46 GTR #21,Rolex Sports Car Series,53,bmw_m3_gtr
Scuderia Augustusburg BrÃ¼hl,GTR_04,BMW M3 E46 GTR,BMW M3 E46 GTR #23,Rolex Sports Car Series,54,bmw_m3_gtr
Team Michael Tischner,GTR_04,BMW M3 E46 GTR,BMW M3 E46 GTR #43,Rolex Sports Car Series,55,bmw_m3_gtr
Schirmer Motorsport,GTR_04,BMW M3 E46 GTR,BMW M3 E46 GTR #48,Rolex Sports Car Series,56,bmw_m3_gtr
Team Arnd Meyer,GTR_04,BMW M3 E46 GTR,BMW M3 E46 GTR #58,Rolex Sports Car Series,57,bmw_m3_gtr
