name,surname,championship_name,category,team_name,end_year,expected_standing,team_loyalty,country,dob,elo,race_skill,qualifying_skill,aggression,defending,stamina,consistency,start_reactions,wet_skill,tyre_management,fuel_management,blue_flag_conceding,weather_tyre_changes,avoidance_of_mistakes,avoidance_of_forced_mistakes,setup_downforce,setup_downforce_randomness
Stephane,Ortelli,Le Mans Endurance Series,LMP1_05,Team Oreca,2005,1,0.82,FRA,1970/03/30,1871,0.81,0.82,0.70,0.77,0.85,0.82,0.77,0.80,0.82,0.83,0.75,0.78,0.82,0.81,0.70,0.10
Allan,McNish,Le Mans Endurance Series,LMP1_05,Team Oreca,2005,2,0.82,GBR,1968/01/01,1869,0.81,0.82,0.70,0.77,0.85,0.82,0.77,0.80,0.82,0.83,0.74,0.78,0.82,0.81,0.70,0.11
Jean-Marc,Gounon,Le Mans Endurance Series,LMP1_05,Team Oreca,2005,3,0.81,FRA,1966/01/01,1865,0.80,0.81,0.69,0.76,0.84,0.81,0.76,0.78,0.81,0.82,0.73,0.77,0.81,0.80,0.70,0.12
Jyrki,Jarvi Lehto,Le Mans Endurance Series,LMP1_05,Champion Racing,2005,4,0.81,FIN,1966/01/31,1875,0.82,0.83,0.69,0.78,0.86,0.83,0.78,0.82,0.83,0.84,0.80,0.79,0.83,0.82,0.70,0.08
Alexander,Frei,Le Mans Endurance Series,LMP1_05,Courage Competition,2005,5,0.80,CHE,1954/06/20,1868,0.80,0.81,0.69,0.77,0.84,0.81,0.76,0.80,0.82,0.83,0.76,0.78,0.82,0.80,0.70,0.10
Christian,Vann,Le Mans Endurance Series,LMP1_05,Courage Competition,2005,6,0.80,GBR,1974/08/05,1865,0.80,0.81,0.68,0.76,0.84,0.81,0.76,0.79,0.81,0.82,0.75,0.77,0.81,0.80,0.70,0.10
Jonathan,Cochet,Le Mans Endurance Series,LMP1_05,Courage Competition,2005,7,0.80,FRA,1976/04/01,1863,0.79,0.80,0.68,0.76,0.83,0.80,0.75,0.78,0.81,0.82,0.74,0.77,0.81,0.79,0.70,0.11
Emmanuel,Collard,Le Mans Endurance Series,LMP1_05,Pescarolo Sport,2005,8,0.79,FRA,1971/04/03,1864,0.80,0.80,0.68,0.76,0.84,0.81,0.76,0.79,0.81,0.82,0.76,0.77,0.81,0.80,0.70,0.10
Martin,Short,Le Mans Endurance Series,LMP1_05,Rollcentre Racing,2005,9,0.79,GBR,1959/03/20,1863,0.79,0.80,0.67,0.76,0.83,0.80,0.75,0.79,0.81,0.82,0.76,0.77,0.81,0.79,0.70,0.10
Bruce,Jouanny,Le Mans Endurance Series,LMP1_05,Rollcentre Racing,2005,10,0.78,FRA,1978/06/11,1859,0.79,0.79,0.67,0.75,0.83,0.80,0.75,0.78,0.80,0.81,0.74,0.76,0.80,0.79,0.70,0.11
Gareth,Evans,Le Mans Endurance Series,LMP2_05,Chamberlain Synergy Motorsport,2005,11,0.78,GBR,1959/03/26,1861,0.79,0.79,0.67,0.75,0.83,0.80,0.75,0.78,0.80,0.81,0.76,0.76,0.80,0.79,0.70,0.10
Didier,Theys,Le Mans Endurance Series,LMP2_05,Horag Racing,2005,12,0.78,BEL,1959/01/01,1858,0.78,0.79,0.66,0.75,0.82,0.79,0.74,0.78,0.80,0.81,0.75,0.76,0.80,0.78,0.70,0.10
William,Binnie,Le Mans Endurance Series,LMP2_05,Binnie Motorsports,2005,13,0.77,USA,1958/03/02,1856,0.78,0.78,0.66,0.75,0.82,0.79,0.74,0.77,0.80,0.81,0.74,0.76,0.80,0.78,0.70,0.11
Bob,Berridge,Le Mans Endurance Series,LMP2_05,Chamberlain Synergy Motorsport,2005,14,0.77,GBR,1959/09/13,1856,0.78,0.78,0.66,0.75,0.82,0.79,0.74,0.77,0.80,0.81,0.75,0.76,0.80,0.78,0.70,0.10
"Fredy,",sr. Lienhard,Le Mans Endurance Series,LMP2_05,Horag Racing,2005,15,0.76,CHE,1947/09/14,1852,0.77,0.78,0.65,0.74,0.81,0.78,0.73,0.76,0.79,0.80,0.74,0.75,0.79,0.77,0.70,0.11
Allen,Timpany,Le Mans Endurance Series,LMP2_05,Binnie Motorsports,2005,16,0.76,GBR,1956/05/30,1851,0.77,0.77,0.65,0.74,0.81,0.78,0.73,0.76,0.79,0.80,0.74,0.75,0.79,0.77,0.70,0.11
Peter,Owen,Le Mans Endurance Series,LMP2_05,Chamberlain Synergy Motorsport,2005,17,0.76,GBR,1946/10/17,1852,0.77,0.77,0.65,0.74,0.81,0.78,0.73,0.77,0.79,0.80,0.75,0.75,0.79,0.77,0.70,0.10
Sam,Hancock,Le Mans Endurance Series,LMP2_05,Binnie Motorsports,2005,18,0.75,GBR,1980/01/09,1848,0.77,0.77,0.64,0.73,0.81,0.78,0.73,0.76,0.78,0.79,0.74,0.74,0.78,0.77,0.70,0.11
Eric,van de Poele,Le Mans Endurance Series,LMP2_05,Horag Racing,2005,19,0.75,BEL,1961/09/30,1846,0.76,0.76,0.64,0.73,0.80,0.77,0.72,0.75,0.78,0.79,0.73,0.74,0.78,0.76,0.70,0.12
Clint,Field,Le Mans Endurance Series,LMP2_05,Intersport Racing,2005,20,0.74,USA,1983/06/16,1854,0.78,0.78,0.63,0.74,0.82,0.79,0.74,0.78,0.79,0.80,0.78,0.75,0.79,0.78,0.70,0.09
Didier,Sommerau,Le Mans Endurance Series,GT1_05,Paul Belmondo Racing,2005,21,0.74,FRA,1970/01/01,1847,0.76,0.76,0.63,0.73,0.79,0.77,0.72,0.76,0.78,0.77,0.75,0.74,0.78,0.76,0.61,0.10
Benjamin,Leuenberger,Le Mans Endurance Series,GT1_05,Paul Belmondo Racing,2005,22,0.74,CHE,1982/06/11,1845,0.76,0.76,0.63,0.72,0.78,0.77,0.72,0.75,0.77,0.77,0.74,0.73,0.77,0.76,0.61,0.11
Ricky,Cole,Le Mans Endurance Series,GT1_05,Graham Nash Motorsport,2005,23,0.73,GBR,1984/02/21,1842,0.75,0.75,0.62,0.72,0.78,0.76,0.71,0.74,0.77,0.76,0.74,0.73,0.77,0.75,0.61,0.11
Matteo,Bobbi,Le Mans Endurance Series,GT1_05,Graham Nash Motorsport,2005,24,0.73,ITA,1978/07/02,1840,0.75,0.75,0.62,0.71,0.77,0.76,0.71,0.74,0.76,0.76,0.73,0.72,0.76,0.75,0.61,0.12
Christian,Pescatori,Le Mans Endurance Series,GT1_05,BMS Scuderia Italia,2005,25,0.72,ITA,1971/12/01,1844,0.76,0.75,0.62,0.72,0.78,0.77,0.72,0.75,0.77,0.77,0.76,0.73,0.77,0.76,0.61,0.10
Matteo,Cressoni,Le Mans Endurance Series,GT1_05,BMS Scuderia Italia,2005,26,0.72,ITA,1984/10/28,1843,0.76,0.75,0.61,0.72,0.78,0.77,0.72,0.75,0.77,0.77,0.76,0.73,0.77,0.76,0.61,0.10
Alexei,Vasiliev,Le Mans Endurance Series,GT1_05,Convers Team,2005,27,0.72,RUS,1972/01/13,1842,0.75,0.75,0.61,0.72,0.78,0.76,0.71,0.75,0.77,0.76,0.76,0.73,0.77,0.75,0.61,0.10
Robert,Pergl,Le Mans Endurance Series,GT1_05,MenX,2005,28,0.71,CZE,1968/12/07,1840,0.75,0.74,0.61,0.72,0.78,0.76,0.71,0.75,0.77,0.76,0.76,0.73,0.77,0.75,0.61,0.10
Andrew,Kirkaldy,Le Mans Endurance Series,GT2_05,Scuderia Ecosse,2005,29,0.71,GBR,1976/03/01,1839,0.75,0.74,0.60,0.71,0.77,0.76,0.71,0.74,0.76,0.76,0.76,0.72,0.76,0.75,0.61,0.10
Gabrio,Rosa,Le Mans Endurance Series,GT2_05,GPC Sport,2005,30,0.70,ITA,1954/10/15,1838,0.75,0.74,0.60,0.71,0.77,0.76,0.71,0.74,0.76,0.76,0.76,0.72,0.76,0.75,0.61,0.10
Jonny,Kane,Le Mans Endurance Series,GT2_05,Team LNT,2005,31,0.70,GBR,1973/05/14,1837,0.74,0.73,0.60,0.71,0.77,0.75,0.70,0.74,0.76,0.75,0.76,0.72,0.76,0.74,0.61,0.10
Richard,Stanton,Le Mans Endurance Series,GT2_05,RaceSport,2005,32,0.70,GBR,1962/03/08,1834,0.74,0.73,0.59,0.70,0.76,0.75,0.70,0.73,0.75,0.75,0.75,0.71,0.75,0.74,0.61,0.10
Donny,Crevels,Le Mans Endurance Series,GT2_05,Spyker Squadron,2005,33,0.69,NLD,1974/02/06,1831,0.73,0.72,0.59,0.70,0.76,0.74,0.69,0.72,0.75,0.74,0.74,0.71,0.75,0.73,0.61,0.11
Jeroen,Bleekemolen,Le Mans Endurance Series,GT2_05,Spyker Squadron,2005,34,0.69,NLD,1981/10/23,1829,0.73,0.72,0.59,0.69,0.75,0.74,0.69,0.72,0.74,0.74,0.74,0.70,0.74,0.73,0.61,0.11
Christian,Lefort,Le Mans Endurance Series,GT2_05,Ice Pol Racing Team,2005,35,0.68,BEL,1959/01/22,1832,0.73,0.72,0.58,0.70,0.76,0.74,0.69,0.73,0.75,0.74,0.76,0.71,0.75,0.73,0.61,0.10
Franco,Groppi,Le Mans Endurance Series,GT2_05,Autorlando Sport,2005,36,0.68,ITA,1964/10/02,1831,0.73,0.72,0.58,0.70,0.76,0.74,0.69,0.73,0.75,0.74,0.76,0.71,0.75,0.73,0.61,0.10
Emanuele,Pirro,American Le Mans Series,LMP1_05,Champion Racing,2005,1,0.82,ITA,1959/01/01,1875,0.82,0.83,0.70,0.78,0.86,0.83,0.78,0.82,0.83,0.84,0.80,0.79,0.83,0.82,0.70,0.08
Marco,Werner,American Le Mans Series,LMP1_05,Champion Racing,2005,2,0.82,DEU,1966/04/27,1874,0.82,0.83,0.70,0.78,0.86,0.83,0.78,0.82,0.83,0.84,0.80,0.79,0.83,0.82,0.70,0.08
Frank,Biela,American Le Mans Series,LMP1_05,Champion Racing,2005,3,0.81,DEU,1959/01/01,1874,0.81,0.83,0.69,0.78,0.85,0.82,0.77,0.82,0.83,0.84,0.80,0.79,0.83,0.81,0.70,0.08
Tom,Kristensen,American Le Mans Series,LMP1_05,Champion Racing,2005,4,0.81,DNK,1967/07/07,1861,0.79,0.80,0.69,0.76,0.83,0.80,0.75,0.78,0.81,0.82,0.73,0.77,0.81,0.79,0.70,0.12
Joao,Barbosa,American Le Mans Series,LMP1_05,Rollcentre Racing,2005,5,0.81,PRT,1975/03/11,1860,0.79,0.80,0.69,0.75,0.83,0.80,0.75,0.78,0.80,0.81,0.73,0.76,0.80,0.79,0.70,0.12
Michael,Krumm,American Le Mans Series,LMP1_05,Rollcentre Racing,2005,6,0.81,DEU,1963/01/01,1859,0.79,0.80,0.69,0.75,0.83,0.80,0.75,0.77,0.80,0.81,0.73,0.76,0.80,0.79,0.70,0.12
Andrew,Thompson,American Le Mans Series,LMP1_05,Rollcentre Racing,2005,7,0.80,GBR,1980/03/20,1858,0.79,0.79,0.68,0.75,0.83,0.80,0.75,0.77,0.80,0.81,0.73,0.76,0.80,0.79,0.70,0.12
Vanina,Ickx,American Le Mans Series,LMP1_05,Rollcentre Racing,2005,8,0.80,BEL,1975/02/16,1863,0.79,0.80,0.68,0.76,0.83,0.80,0.75,0.79,0.81,0.82,0.76,0.77,0.81,0.79,0.70,0.10
Adam,Sharpe,American Le Mans Series,LMP2_05,Binnie Motorsports,2005,9,0.80,GBR,1984/09/12,1857,0.78,0.79,0.68,0.75,0.82,0.79,0.74,0.77,0.80,0.81,0.73,0.76,0.80,0.78,0.70,0.12
Thed,Björk,American Le Mans Series,LMP2_05,Horag Racing,2005,10,0.79,SWE,1980/09/12,1856,0.78,0.79,0.68,0.75,0.82,0.79,0.74,0.77,0.80,0.81,0.73,0.76,0.80,0.78,0.70,0.12
Jon,Field,American Le Mans Series,LMP2_05,Intersport Racing,2005,11,0.79,USA,1955/09/18,1861,0.79,0.80,0.67,0.76,0.83,0.80,0.75,0.79,0.81,0.82,0.77,0.77,0.81,0.79,0.70,0.10
Ben,Devlin,American Le Mans Series,LMP2_05,Van der Steur Racing,2005,12,0.79,GBR,1982/08/04,1860,0.79,0.80,0.67,0.75,0.83,0.80,0.75,0.79,0.80,0.81,0.77,0.76,0.80,0.79,0.70,0.10
Robert,Julien,American Le Mans Series,LMP2_05,Binnie Motorsports,2005,13,0.78,CAN,1970/01/01,1853,0.78,0.78,0.67,0.74,0.82,0.79,0.74,0.76,0.79,0.80,0.73,0.75,0.79,0.78,0.70,0.12
Liz,Halliday,American Le Mans Series,LMP2_05,Intersport Racing,2005,14,0.78,USA,1978/12/14,1857,0.78,0.79,0.67,0.75,0.82,0.79,0.74,0.78,0.80,0.81,0.76,0.76,0.80,0.78,0.70,0.10
Bob,Woodman,American Le Mans Series,LMP2_05,BAT Competition,2005,15,0.78,USA,1970/01/01,1851,0.77,0.78,0.66,0.74,0.81,0.78,0.73,0.76,0.79,0.80,0.73,0.75,0.79,0.77,0.70,0.12
Garteh,Ridpath,American Le Mans Series,LMP2_05,Intersport Racing,2005,16,0.78,GBR,1978/03/31,1850,0.77,0.77,0.66,0.73,0.81,0.78,0.73,0.76,0.78,0.79,0.73,0.74,0.78,0.77,0.70,0.12
Alex,Figge,American Le Mans Series,GT1_05,Pacific Coast Motorsports,2005,17,0.77,USA,1981/01/29,1857,0.78,0.79,0.66,0.75,0.81,0.79,0.74,0.78,0.80,0.79,0.78,0.76,0.80,0.78,0.61,0.09
Ryan,Dalziel,American Le Mans Series,GT1_05,Pacific Coast Motorsports,2005,18,0.77,GBR,1982/04/12,1856,0.78,0.79,0.66,0.75,0.81,0.79,0.74,0.78,0.80,0.79,0.78,0.76,0.80,0.78,0.61,0.09
Johnny,O'Connell,American Le Mans Series,GT1_05,Pratt & Miller,2005,19,0.77,USA,1962/07/24,1859,0.79,0.79,0.65,0.75,0.81,0.80,0.75,0.79,0.80,0.80,0.80,0.76,0.80,0.79,0.61,0.08
Oliver,Gavin,American Le Mans Series,GT1_05,Pratt & Miller,2005,20,0.76,GBR,1986/01/01,1859,0.79,0.79,0.65,0.75,0.81,0.80,0.75,0.79,0.80,0.80,0.80,0.76,0.80,0.79,0.61,0.08
Andrea,Bertolini,American Le Mans Series,GT1_05,Risi Competizione,2005,21,0.76,ITA,1973/12/01,1856,0.78,0.78,0.65,0.75,0.81,0.79,0.74,0.78,0.80,0.79,0.79,0.76,0.80,0.78,0.61,0.08
Fabrizio,de Simone,American Le Mans Series,GT1_05,Risi Competizione,2005,22,0.76,ITA,1971/03/30,1855,0.78,0.78,0.65,0.74,0.80,0.79,0.74,0.78,0.79,0.79,0.79,0.75,0.79,0.78,0.61,0.08
Darren,Turner,American Le Mans Series,GT1_05,Aston Martin Racing,2005,23,0.75,GBR,1974/04/13,1847,0.76,0.76,0.64,0.73,0.79,0.77,0.72,0.75,0.78,0.77,0.74,0.74,0.78,0.76,0.61,0.11
Pedro,Lamy,American Le Mans Series,GT1_05,Aston Martin Racing,2005,24,0.75,PRT,1972/03/20,1846,0.76,0.76,0.64,0.73,0.79,0.77,0.72,0.75,0.78,0.77,0.74,0.74,0.78,0.76,0.61,0.11
Johnny,Mowlem,American Le Mans Series,GT1_05,ACEMCO Motorsports,2005,25,0.75,GBR,1969/12/12,1854,0.78,0.78,0.64,0.74,0.80,0.79,0.74,0.78,0.79,0.79,0.80,0.75,0.79,0.78,0.61,0.08
Nigel,Smith,American Le Mans Series,GT1_05,Graham Nash Motorsport,2005,26,0.75,GBR,1967/02/13,1842,0.75,0.75,0.64,0.72,0.78,0.76,0.71,0.74,0.77,0.76,0.73,0.73,0.77,0.75,0.61,0.12
Christophe,Bouchut,American Le Mans Series,GT1_05,Larbre Compétition,2005,27,0.74,FRA,1966/01/01,1841,0.75,0.75,0.63,0.72,0.78,0.76,0.71,0.74,0.77,0.76,0.73,0.73,0.77,0.75,0.61,0.12
Antonie,Gosse,American Le Mans Series,GT1_05,JMB Racing,2005,28,0.74,FRA,1957/05/05,1845,0.76,0.76,0.63,0.72,0.78,0.77,0.72,0.75,0.77,0.77,0.76,0.73,0.77,0.76,0.61,0.10
Michele,Rugolo,American Le Mans Series,GT1_05,Carsport America,2005,29,0.74,ITA,1982/08/31,1851,0.77,0.77,0.63,0.74,0.80,0.78,0.73,0.78,0.79,0.78,0.80,0.75,0.79,0.77,0.61,0.08
Tom,Weickardt,American Le Mans Series,GT1_05,Carsport America,2005,30,0.73,USA,1947/03/25,1850,0.77,0.77,0.63,0.73,0.79,0.78,0.73,0.77,0.78,0.78,0.80,0.74,0.78,0.77,0.61,0.08
Jean-Philippe,Belloc,American Le Mans Series,GT1_05,Carsport America,2005,31,0.73,FRA,1970/04/24,1840,0.75,0.75,0.62,0.71,0.77,0.76,0.71,0.74,0.76,0.76,0.74,0.72,0.76,0.75,0.61,0.11
Jean-Michel,Papolla,American Le Mans Series,GT1_05,Paul Belmondo Racing,2005,32,0.73,FRA,1970/01/01,1840,0.75,0.75,0.62,0.72,0.78,0.76,0.71,0.74,0.77,0.76,0.75,0.73,0.77,0.75,0.61,0.10
Romain,Dumas,American Le Mans Series,GT2_05,Alex Job Racing,2005,33,0.72,FRA,1977/12/14,1847,0.76,0.76,0.62,0.73,0.79,0.77,0.72,0.77,0.78,0.77,0.80,0.74,0.78,0.76,0.61,0.08
Ian,Baas,American Le Mans Series,GT2_05,Alex Job Racing,2005,34,0.72,USA,1983/01/09,1846,0.76,0.76,0.62,0.73,0.79,0.77,0.72,0.77,0.78,0.77,0.80,0.74,0.78,0.76,0.61,0.08
Jörg,Bergmeister,American Le Mans Series,GT2_05,Petersen / White Lightning,2005,35,0.72,DEU,1976/02/13,1845,0.76,0.75,0.61,0.73,0.79,0.77,0.72,0.77,0.78,0.77,0.80,0.74,0.78,0.76,0.61,0.08
Mike,Rockenfeller,American Le Mans Series,GT2_05,British American Motorsport,2005,36,0.72,DEU,1983/10/31,1842,0.75,0.75,0.61,0.72,0.78,0.76,0.71,0.75,0.77,0.76,0.78,0.73,0.77,0.75,0.61,0.09
Lawrence,Tomlinson,American Le Mans Series,GT2_05,Team LNT,2005,37,0.71,GBR,1964/07/24,1832,0.73,0.73,0.61,0.70,0.76,0.74,0.69,0.72,0.75,0.74,0.73,0.71,0.75,0.73,0.61,0.12
Marc,Hynes,American Le Mans Series,GT2_05,Team LNT,2005,38,0.71,GBR,1978/02/26,1831,0.73,0.73,0.61,0.70,0.76,0.74,0.69,0.72,0.75,0.74,0.73,0.71,0.75,0.73,0.61,0.12
Warren,Hughes,American Le Mans Series,GT2_05,Team LNT,2005,39,0.71,GBR,1969/01/19,1830,0.73,0.72,0.60,0.70,0.76,0.74,0.69,0.72,0.75,0.74,0.73,0.71,0.75,0.73,0.61,0.12
Patrick,Pearce,American Le Mans Series,GT2_05,Team LNT,2005,40,0.70,GBR,1981/04/22,1829,0.73,0.72,0.60,0.69,0.75,0.74,0.69,0.72,0.74,0.74,0.73,0.70,0.74,0.73,0.61,0.12
Frank,Munsterhuis,American Le Mans Series,GT2_05,Spyker Squadron,2005,41,0.70,NLD,1970/01/01,1828,0.73,0.72,0.60,0.69,0.75,0.74,0.69,0.71,0.74,0.74,0.73,0.70,0.74,0.73,0.61,0.12
Marc,Goossens,American Le Mans Series,GT2_05,Spyker Squadron,2005,42,0.70,BEL,1969/11/30,1827,0.73,0.72,0.60,0.69,0.75,0.74,0.69,0.71,0.74,0.74,0.73,0.70,0.74,0.73,0.61,0.12
Marino,Franchitti,American Le Mans Series,GT2_05,Spyker Squadron,2005,43,0.69,GBR,1978/06/07,1826,0.72,0.71,0.59,0.69,0.75,0.73,0.68,0.71,0.74,0.73,0.73,0.70,0.74,0.72,0.61,0.12
Tom,Coronel,American Le Mans Series,GT2_05,Spyker Squadron,2005,44,0.69,NLD,1972/04/05,1826,0.72,0.71,0.59,0.69,0.75,0.73,0.68,0.71,0.74,0.73,0.73,0.70,0.74,0.72,0.61,0.12
Robin,Liddell,American Le Mans Series,GT2_05,Panoz Motorsports,2005,45,0.69,GBR,1974/02/28,1836,0.74,0.73,0.59,0.71,0.77,0.75,0.70,0.75,0.76,0.75,0.80,0.72,0.76,0.74,0.61,0.08
Bryan,Sellers,American Le Mans Series,GT2_05,Panoz Motorsports,2005,46,0.69,USA,1982/08/19,1836,0.74,0.73,0.59,0.71,0.77,0.75,0.70,0.75,0.76,0.75,0.80,0.72,0.76,0.74,0.61,0.08
Gunnar,Jeannette,American Le Mans Series,GT2_05,Panoz Motorsports,2005,47,0.68,USA,1982/05/05,1824,0.72,0.71,0.58,0.68,0.74,0.73,0.68,0.71,0.73,0.73,0.74,0.69,0.73,0.72,0.61,0.11
Bill,Auberlen,American Le Mans Series,GT2_05,Panoz Motorsports,2005,48,0.68,USA,1984/01/01,1831,0.73,0.72,0.58,0.70,0.76,0.74,0.69,0.73,0.75,0.74,0.78,0.71,0.75,0.73,0.61,0.09
Robert,Lechner,FIA GT Championship,GT1_05,Konrad Motorsport,2005,1,0.82,AUT,1977/10/01,1862,0.79,0.80,0.70,0.76,0.82,0.80,0.75,0.79,0.81,0.80,0.78,0.77,0.81,0.79,0.61,0.09
Franz,Konrad,FIA GT Championship,GT1_05,Konrad Motorsport,2005,2,0.81,AUT,1947/01/01,1858,0.78,0.80,0.70,0.75,0.81,0.79,0.74,0.78,0.80,0.79,0.77,0.76,0.80,0.78,0.61,0.10
Anthony,Kumpen,FIA GT Championship,GT1_05,GLPK Carsport,2005,3,0.81,BEL,1978/11/03,1861,0.79,0.80,0.69,0.76,0.82,0.80,0.75,0.80,0.81,0.80,0.80,0.77,0.81,0.79,0.61,0.08
Bruno,Hernandez,FIA GT Championship,GT1_05,Selleslagh Racing Team,2005,4,0.80,FRA,1960/06/23,1848,0.76,0.77,0.69,0.73,0.79,0.77,0.72,0.75,0.78,0.77,0.73,0.74,0.78,0.76,0.61,0.12
Michael,Bartels,FIA GT Championship,GT1_05,Bartels Motor&Sport,2005,5,0.80,DEU,1968/03/08,1858,0.78,0.79,0.68,0.75,0.81,0.79,0.74,0.79,0.80,0.79,0.80,0.76,0.80,0.78,0.61,0.08
Fabio,Babini,FIA GT Championship,GT1_05,Bartels Motor&Sport,2005,6,0.79,ITA,1969/11/03,1856,0.78,0.79,0.68,0.75,0.81,0.79,0.74,0.79,0.80,0.79,0.80,0.76,0.80,0.78,0.61,0.08
Karl,Wendlinger,FIA GT Championship,GT1_05,JMB Racing,2005,7,0.79,AUT,1954/01/01,1854,0.78,0.78,0.67,0.74,0.80,0.79,0.74,0.78,0.79,0.79,0.80,0.75,0.79,0.78,0.61,0.08
Philipp,Peter,FIA GT Championship,GT1_05,JMB Racing,2005,8,0.78,AUT,1969/04/06,1853,0.77,0.78,0.67,0.74,0.80,0.78,0.73,0.78,0.79,0.78,0.80,0.75,0.79,0.77,0.61,0.08
Andrea,Piccini,FIA GT Championship,GT1_05,GPC Sport,2005,9,0.78,ITA,1978/12/12,1851,0.77,0.78,0.66,0.74,0.80,0.78,0.73,0.78,0.79,0.78,0.80,0.75,0.79,0.77,0.61,0.08
"Jamie,",jr. Melo,FIA GT Championship,GT1_05,GPC Sport,2005,10,0.77,BRA,1980/04/24,1844,0.76,0.76,0.66,0.72,0.78,0.77,0.72,0.76,0.77,0.77,0.77,0.73,0.77,0.76,0.61,0.10
Peter,Kox,FIA GT Championship,GT1_05,Reiter Engineering,2005,11,0.76,NLD,1964/02/23,1840,0.75,0.75,0.65,0.71,0.78,0.76,0.71,0.74,0.77,0.76,0.75,0.72,0.77,0.75,0.61,0.10
Norman,Simon,FIA GT Championship,GT1_05,Reiter Engineering,2005,12,0.76,DEU,1976/05/07,1837,0.74,0.75,0.65,0.71,0.77,0.75,0.70,0.74,0.76,0.75,0.74,0.72,0.76,0.74,0.61,0.11
Justin,Keen,FIA GT Championship,GT1_05,Lister Racing,2005,13,0.75,GBR,1975/08/04,1844,0.76,0.76,0.64,0.72,0.78,0.77,0.72,0.76,0.77,0.77,0.80,0.73,0.77,0.76,0.61,0.08
Bobby,Verdon-Roe,FIA GT Championship,GT1_05,Lister Racing,2005,14,0.75,GBR,1965/11/21,1831,0.73,0.73,0.64,0.70,0.76,0.74,0.69,0.72,0.75,0.74,0.73,0.71,0.75,0.73,0.61,0.12
