name,principal,driver_loyalty,expectation_level,performance_rating,engineering_weight,engineering_drag,engineering_power
AB Motorsport,Period Team Management,0.77,0.68,0.71,0.31,0.33,0.36
ACEMCO Motorsports,ACEMCO Motorsports,0.80,0.75,0.78,0.31,0.33,0.36
Alex Job Racing,Alex Job Racing,0.79,0.73,0.76,0.31,0.33,0.36
ARC Bratislava,Period Team Management,0.77,0.67,0.70,0.31,0.33,0.36
Aston Martin Racing,Aston Martin Racing,0.79,0.73,0.76,0.31,0.33,0.36
Autorlando Sport,Autorlando Sport,0.78,0.70,0.73,0.31,0.33,0.36
Balfe Motorsport,Period Team Management,0.77,0.68,0.71,0.31,0.33,0.36
Bartels Motor&Sport,Period Team Management,0.80,0.75,0.78,0.31,0.33,0.36
BAT Competition,Period Team Management,0.80,0.74,0.77,0.39,0.37,0.41
Belgian Racing,Period Team Management,0.80,0.74,0.77,0.31,0.33,0.36
Bernard Jubin,Period Team Management,0.74,0.62,0.65,0.31,0.33,0.36
Binnie Motorsports,Period Team Management,0.80,0.75,0.78,0.39,0.37,0.41
BMS Scuderia Italia,Giuseppe Lucchini,0.79,0.73,0.76,0.31,0.33,0.36
Bonk Motorsport,Period Team Management,0.77,0.67,0.70,0.31,0.33,0.36
British American Motorsport,Period Team Management,0.79,0.72,0.75,0.31,0.33,0.36
Captain Racing Team,Period Team Management,0.77,0.67,0.70,0.31,0.33,0.36
Car Collection,Period Team Management,0.77,0.68,0.71,0.31,0.33,0.36
Carsport America,Period Team Management,0.80,0.74,0.77,0.31,0.33,0.36
Chamberlain Synergy Motorsport,Period Team Management,0.81,0.76,0.79,0.39,0.37,0.41
Champion Racing,Champion Racing,0.82,0.79,0.82,0.39,0.37,0.41
Cirtek Motorsport,Period Team Management,0.77,0.69,0.72,0.31,0.33,0.36
Convers Team,Period Team Management,0.79,0.72,0.75,0.31,0.33,0.36
Courage Competition,Courage Competition,0.81,0.77,0.80,0.39,0.37,0.41
DÃ¶rr Motorsport,Period Team Management,0.79,0.72,0.75,0.31,0.33,0.36
De Radigues,Period Team Management,0.78,0.70,0.73,0.31,0.33,0.36
Duller Motorsport,Period Team Management,0.77,0.69,0.72,0.31,0.33,0.36
Ebimotors,Ebimotors,0.77,0.69,0.72,0.31,0.33,0.36
Embassy Racing,Period Team Management,0.76,0.65,0.68,0.31,0.33,0.36
Flying Lizard Motorsports,Flying Lizard Motorsports,0.80,0.74,0.77,0.31,0.33,0.36
GLPK Carsport,GLPK-Carsport,0.81,0.76,0.79,0.31,0.33,0.36
GPC Sport,GPC Sport,0.80,0.74,0.77,0.31,0.33,0.36
Graham Nash Motorsport,Period Team Management,0.79,0.72,0.75,0.31,0.33,0.36
Gruppe M Racing,Period Team Management,0.78,0.71,0.74,0.31,0.33,0.36
Horag Racing,Period Team Management,0.80,0.75,0.78,0.39,0.37,0.41
Ice Pol Racing Team,Period Team Management,0.78,0.70,0.73,0.31,0.33,0.36
In2Racing,Period Team Management,0.78,0.70,0.73,0.31,0.33,0.36
Intersport Racing,Jon Field,0.81,0.76,0.79,0.39,0.37,0.41
J3 Racing,Period Team Management,0.79,0.73,0.76,0.31,0.33,0.36
James Watt Automotive,Period Team Management,0.75,0.64,0.67,0.31,0.33,0.36
Jens Petersen Racing,Period Team Management,0.76,0.65,0.68,0.31,0.33,0.36
JLOC,Period Team Management,0.79,0.73,0.76,0.31,0.33,0.36
JMB Racing,JMB Racing,0.80,0.75,0.78,0.31,0.33,0.36
JVG Racing,Period Team Management,0.76,0.66,0.69,0.31,0.33,0.36
Konrad Motorsport,Konrad Motorsport,0.81,0.76,0.79,0.31,0.33,0.36
Kruse Motorsport,Period Team Management,0.78,0.70,0.73,0.31,0.33,0.36
Lammertink Racing,Period Team Management,0.76,0.66,0.69,0.31,0.33,0.36
Land Motorsport,Period Team Management,0.76,0.66,0.69,0.31,0.33,0.36
Larbre Compétition,Larbre Competition,0.80,0.74,0.77,0.31,0.33,0.36
Lister Racing,Period Team Management,0.79,0.73,0.76,0.31,0.33,0.36
Machanek Racing,Period Team Management,0.77,0.67,0.70,0.31,0.33,0.36
Mamerow Racing,Period Team Management,0.77,0.67,0.70,0.31,0.33,0.36
MenX,Period Team Management,0.79,0.72,0.75,0.31,0.33,0.36
Messer Motorsport,Period Team Management,0.77,0.68,0.71,0.31,0.33,0.36
Moore International Motorsport,Period Team Management,0.78,0.70,0.73,0.31,0.33,0.36
Morin Racing,Period Team Management,0.77,0.68,0.71,0.31,0.33,0.36
Noble Group,Period Team Management,0.77,0.67,0.70,0.31,0.33,0.36
Pacific Coast Motorsports,Period Team Management,0.80,0.75,0.78,0.31,0.33,0.36
Panoz Motorsports,Period Team Management,0.78,0.71,0.74,0.31,0.33,0.36
Paul Belmondo Racing,Period Team Management,0.79,0.73,0.76,0.31,0.33,0.36
Pescarolo Sport,Pescarolo Sport,0.81,0.77,0.80,0.39,0.37,0.41
Petersen / White Lightning,Period Team Management,0.79,0.73,0.76,0.31,0.33,0.36
Pratt & Miller,Period Team Management,0.81,0.76,0.79,0.31,0.33,0.36
Prodrive,Period Team Management,0.78,0.70,0.73,0.31,0.33,0.36
Proton Competition,Christian Ried,0.78,0.70,0.73,0.31,0.33,0.36
RaceSport,Period Team Management,0.78,0.71,0.74,0.31,0.33,0.36
RAM Racing Team,Period Team Management,0.78,0.71,0.74,0.31,0.33,0.36
Reiter Engineering,Reiter Engineering,0.79,0.73,0.76,0.31,0.33,0.36
Renauer Motorsport,Renauer Motorsport,0.77,0.68,0.71,0.31,0.33,0.36
Ring Racing,Period Team Management,0.78,0.71,0.74,0.31,0.33,0.36
Risi Competizione,Giuseppe Risi,0.80,0.75,0.78,0.31,0.33,0.36
Rock Media Motors,Period Team Management,0.77,0.69,0.72,0.31,0.33,0.36
Rollcentre Racing,Rollcentre Racing,0.81,0.76,0.79,0.39,0.37,0.41
Russian Age Racing,Period Team Management,0.80,0.74,0.77,0.31,0.33,0.36
Schirmer Motorsport,Period Team Management,0.78,0.71,0.74,0.31,0.33,0.36
Scuderia Augustusburg BrÃ¼hl,Period Team Management,0.79,0.72,0.75,0.31,0.33,0.36
Scuderia Ecosse,Scuderia Ecosse,0.79,0.72,0.75,0.31,0.33,0.36
Scuderia Giudici,Period Team Management,0.77,0.67,0.70,0.31,0.33,0.36
Sebah Automotive,Period Team Management,0.76,0.65,0.68,0.31,0.33,0.36
Seikel Motorsport,Period Team Management,0.76,0.66,0.69,0.31,0.33,0.36
Selleslagh Racing Team,Period Team Management,0.79,0.73,0.76,0.31,0.33,0.36
Spyker Squadron,Spyker Squadron,0.78,0.70,0.73,0.31,0.33,0.36
steam-racing,Period Team Management,0.77,0.69,0.72,0.31,0.33,0.36
T2M Motorsport,Period Team Management,0.74,0.62,0.65,0.31,0.33,0.36
Team Arnd Meyer,Period Team Management,0.78,0.71,0.74,0.31,0.33,0.36
Team Destree / Jodexnis,Period Team Management,0.76,0.66,0.69,0.31,0.33,0.36
Team Eurotech,Period Team Management,0.76,0.65,0.68,0.31,0.33,0.36
Team LNT,Period Team Management,0.78,0.71,0.74,0.31,0.33,0.36
Team Michael Tischner,Period Team Management,0.79,0.72,0.75,0.31,0.33,0.36
Team Oreca,Period Team Management,0.81,0.78,0.81,0.39,0.37,0.41
Team Schnitzer,Period Team Management,0.79,0.72,0.75,0.31,0.33,0.36
Team Stefan Beil,Period Team Management,0.77,0.68,0.71,0.31,0.33,0.36
Team Uwe Reich,Period Team Management,0.77,0.67,0.70,0.31,0.33,0.36
Tech 9 Motorsport,Period Team Management,0.74,0.61,0.64,0.31,0.33,0.36
The Racers Group,The Racers Group,0.78,0.70,0.73,0.31,0.33,0.36
Van der Steur Racing,Period Team Management,0.81,0.76,0.79,0.39,0.37,0.41
Vonka Racing,Period Team Management,0.79,0.72,0.75,0.31,0.33,0.36
Wieth Racing,Period Team Management,0.78,0.70,0.73,0.31,0.33,0.36
Zakspeed Racing,Period Team Management,0.76,0.66,0.69,0.31,0.33,0.36
ZIP Racing,Period Team Management,0.78,0.71,0.74,0.31,0.33,0.36
