team_name,category,model,livery,championship_names,livery_id,model_folder
VSR,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #48,Lamborghini Super Trofeo Europe,65,lamborghini_huracan_supertrofeo_evo2
Oregon Team,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #50,Lamborghini Super Trofeo Europe,66,lamborghini_huracan_supertrofeo_evo2
Aston Martin THOR Team,LMDh,Aston Martin Valkyrie Hypercar,Aston Martin Valkyrie Hypercar #007,World Endurance Championship,52,aston_martin_valkyrie_lmh
Aston Martin THOR Team,LMDh,Aston Martin Valkyrie Hypercar,Aston Martin Valkyrie Hypercar #009,World Endurance Championship,53,aston_martin_valkyrie_lmh
Heart of Racing Team,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #42,World Endurance Championship,55,aston_martin_vantage_gt3_evo
Team WRT,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #42,Intercontinental GT Challenge,55,aston_martin_vantage_gt3_evo
Comtoyou Racing,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #42,GT World Challenge Europe,55,aston_martin_vantage_gt3_evo
Heart of Racing Team,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #73,World Endurance Championship,56,aston_martin_vantage_gt3_evo
Team WRT,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #73,Intercontinental GT Challenge,56,aston_martin_vantage_gt3_evo
Comtoyou Racing,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #73,GT World Challenge Europe,56,aston_martin_vantage_gt3_evo
Racing Spirit of Leman,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #22,Michelin Le Mans Cup,51,audi_r8_lms_gt3
United Autosports,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #22,European Le Mans Series,51,audi_r8_lms_gt3
Racing Spirit of Leman,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #69,Michelin Le Mans Cup,52,audi_r8_lms_gt3
TF Sport,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #69,European Le Mans Series,52,audi_r8_lms_gt3
DKR Engineering,LMP2_Gen1,Ligier JS P217,Ligier JS P217 #10,European Le Mans Series,51,ligier_js_p217
Vector Sport RLR,P1Gen2,Ligier JS P320,Ligier JS P320 #15,Michelin Le Mans Cup,53,ligier_js_p320
Aust Motorsport,P4,MCR S2000,MCR S2000 #3,Radical Cup Europe,52,mcr2000
Team Virage,P4,MCR S2000,MCR S2000 #4,Radical Cup Europe,53,mcr2000
Vector Sport RLR,P1Gen2,Ligier JS P320,Ligier JS P320 #10,Michelin Le Mans Cup,52,ligier_js_p320
Rinaldi Racing,P1Gen2,Ligier JS P320,Ligier JS P320 #10,European Le Mans Series,52,ligier_js_p320
DKR Engineering,P1Gen2,Ligier JS P320,Ligier JS P320 #15,European Le Mans Series,53,ligier_js_p320
Vector Sport,LMP2_Gen1,Oreca 07,Oreca 07 #15,European Le Mans Series,51,oreca_07
Oregon Team,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #55,Lamborghini Super Trofeo Europe,67,lamborghini_huracan_supertrofeo_evo2
Target Racing,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #64,Lamborghini Super Trofeo Europe,68,lamborghini_huracan_supertrofeo_evo2
Alpine Endurance Team,LMDh,Alpine A424,Alpine A424 #36,World Endurance Championship,51,alpine_a424
Alpine Endurance Team,LMDh,Alpine A424,Alpine A424 #37,World Endurance Championship,52,alpine_a424
Code Racing Development,GT3,McLaren 720S GT3,McLaren 720S GT3 #04,Michelin Le Mans Cup,51,mclaren_720s_gt3
Richard Mille AF Corse,GT3,McLaren 720S GT3,McLaren 720S GT3 #04,European Le Mans Series,51,mclaren_720s_gt3
Code Racing Development,GT3,McLaren 720S GT3,McLaren 720S GT3 #12,Michelin Le Mans Cup,52,mclaren_720s_gt3
AF Corse,GT3,McLaren 720S GT3,McLaren 720S GT3 #12,European Le Mans Series,52,mclaren_720s_gt3
OQ by Oman Racing,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #59,Intercontinental GT Challenge,56,mclaren_720s_gt3_evo
Garage 59,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #59,GT World Challenge Europe,56,mclaren_720s_gt3_evo
Mercedes-AMG Team Getspeed,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #59,Nürburgring Langstrecken-Serie,56,mclaren_720s_gt3_evo
OQ by Oman Racing,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #41,Intercontinental GT Challenge,55,mclaren_720s_gt3_evo
Garage 59,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #41,GT World Challenge Europe,55,mclaren_720s_gt3_evo
Mercedes-AMG Team Getspeed,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #41,Nürburgring Langstrecken-Serie,55,mclaren_720s_gt3_evo
AV Racing by Black Falcon,GT4,Alpine A110 GT4 Evo,Alpine A110 GT4 Evo #36,Nürburgring Langstrecken-Serie,51,alpine_a110_gt4_evo
PROsport-Racing,GT4,Alpine A110 GT4 Evo,Alpine A110 GT4 Evo #63,Nürburgring Langstrecken-Serie,53,alpine_a110_gt4_evo
Nielsen Racing,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #22,Michelin Le Mans Cup,54,ginetta_g58_gen2
R Racing,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #01,Ginetta Junior Championship Europe,51,ginetta_g40_cup
Pace Performance,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #02,Ginetta Junior Championship Europe,52,ginetta_g40_cup
Allay Racing,P4,MCR S2000,MCR S2000 #5,Radical Cup Europe,54,mcr2000
BWT Mucke Motorsport,P4,MCR S2000,MCR S2000 #6,Radical Cup Europe,55,mcr2000
Nielsen Racing,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #21,Michelin Le Mans Cup,53,ginetta_g58_gen2
Team Virage,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #21,European Le Mans Series,53,ginetta_g58_gen2
EuroInternational,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #20,European Le Mans Series,52,ginetta_g58_gen2
Cadillac Wayne Taylor Racing,LMDh,Cadillac V-Series.R,Cadillac V-Series.R #01 (IMSA 2024),IMSA WeatherTech SportsCar Championship,51,cadillac_v-series_r
Cadillac Hertz Team Jota,LMDh,Cadillac V-Series.R,Cadillac V-Series.R #01 (IMSA 2024),World Endurance Championship,51,cadillac_v-series_r
Cadillac Wayne Taylor Racing,LMDh,Cadillac V-Series.R,Cadillac V-Series.R #31 (IMSA 2024),IMSA WeatherTech SportsCar Championship,52,cadillac_v-series_r
Cadillac Hertz Team Jota,LMDh,Cadillac V-Series.R,Cadillac V-Series.R #31 (IMSA 2024),World Endurance Championship,52,cadillac_v-series_r
Corvette Racing by Pratt Miller Motorsports,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #13 (IMSA 2024),IMSA WeatherTech SportsCar Championship,53,corvette_z06_gt3r
TF Sport,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #13 (IMSA 2024),World Endurance Championship,53,corvette_z06_gt3r
Team WRT,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #13 (IMSA 2024),GT World Challenge Sprint,53,corvette_z06_gt3r
Kellymoss,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #13 (IMSA 2024),GT World Challenge America,53,corvette_z06_gt3r
Corvette Racing by Pratt Miller Motorsports,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #17 (IMSA 2024),IMSA WeatherTech SportsCar Championship,54,corvette_z06_gt3r
Racing Team Turkey by TF,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #17 (IMSA 2024),World Endurance Championship,54,corvette_z06_gt3r
Team WRT,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #17 (IMSA 2024),GT World Challenge Sprint,54,corvette_z06_gt3r
Kellymoss,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #17 (IMSA 2024),GT World Challenge America,54,corvette_z06_gt3r
Martinet by Almeras,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #20,Porsche Carrera Supercup,55,porsche_991_gt3_2
