name,surname,championship_name,category,team_name,end_year,expected_standing,team_loyalty,country,dob,elo,race_skill,qualifying_skill,aggression,defending,stamina,consistency,start_reactions,wet_skill,tyre_management,fuel_management,blue_flag_conceding,weather_tyre_changes,avoidance_of_mistakes,avoidance_of_forced_mistakes,setup_downforce
Theo,Oeverhaus,Porsche Carrera Supercup,Carrera Cup,Martinet by Almeras,2026,1,0.84,DEU,2004/12/18,1830,0.75,0.77,0.69,0.72,0.74,0.75,0.72,0.75,0.75,0.74,0.70,0.73,0.75,0.74,0.44
Andrea,Bristot,Porsche Carrera Supercup,Carrera Cup,Dinamic Motorsport,2026,2,0.84,ITA,2002/01/01,1815,0.74,0.76,0.68,0.71,0.73,0.74,0.71,0.72,0.72,0.71,0.70,0.70,0.74,0.73,0.42
Gustav,Burton,Porsche Carrera Supercup,Carrera Cup,Team GP Elite,2026,3,0.84,GBR,2002/01/01,1810,0.74,0.76,0.68,0.71,0.73,0.74,0.71,0.72,0.74,0.73,0.70,0.70,0.74,0.73,0.43
Robert,de Haan,Porsche Carrera Supercup,Carrera Cup,BWT Lechner Racing,2026,4,0.84,NLD,2006/06/22,1805,0.73,0.75,0.69,0.70,0.72,0.73,0.70,0.73,0.73,0.72,0.70,0.71,0.73,0.72,0.47
Flynt,Schuring,Porsche Carrera Supercup,Carrera Cup,Schumacher CLRT,2026,5,0.84,NLD,2006/10/7,1795,0.73,0.75,0.69,0.70,0.72,0.73,0.70,0.71,0.71,0.70,0.70,0.69,0.73,0.72,0.47
Keagan,Masters,Porsche Carrera Supercup,Carrera Cup,Proton Competition,2026,6,0.84,ZAF,2000/03/02,1788,0.72,0.74,0.68,0.69,0.71,0.72,0.69,0.70,0.70,0.69,0.70,0.68,0.72,0.71,0.55
Jaap,van Lagen,Porsche Carrera Supercup,Carrera Cup,Martinet by Almeras,2026,7,0.84,NLD,1976/12/22,1785,0.72,0.74,0.66,0.69,0.71,0.72,0.69,0.72,0.72,0.71,0.70,0.70,0.72,0.71,0.43
Dirk,Schouten,Porsche Carrera Supercup,Carrera Cup,Looping by CarTech,2026,8,0.84,NLD,2001/05/20,1775,0.71,0.73,0.65,0.68,0.70,0.71,0.68,0.71,0.69,0.68,0.70,0.69,0.71,0.70,0.50
Matheus,Ferreira,Porsche Carrera Supercup,Carrera Cup,Team GP Elite,2026,9,0.78,BRA,2006/01/01,1770,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.69,0.69,0.68,0.70,0.67,0.71,0.70,0.52
Chester,Kieffer,Porsche Carrera Supercup,Carrera Cup,Schumacher CLRT,2026,10,0.78,LUX,2007/1/1,1764,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.69,0.69,0.68,0.70,0.67,0.71,0.70,0.46
Marcus,Amand,Porsche Carrera Supercup,Carrera Cup,BWT Lechner Racing,2026,11,0.78,FIN,2006/02/08,1758,0.70,0.70,0.64,0.67,0.69,0.68,0.67,0.68,0.68,0.67,0.70,0.66,0.68,0.67,0.49
Jack,Young,Porsche Carrera Supercup,Carrera Cup,Target Competition,2026,12,0.78,GBR,2001/10/31,1752,0.70,0.70,0.66,0.67,0.69,0.68,0.67,0.68,0.68,0.67,0.70,0.66,0.68,0.67,0.55
Caleb,Sumich,Porsche Carrera Supercup,Carrera Cup,BWT Lechner Racing,2026,13,0.78,AUS,2004/01/01,1748,0.70,0.70,0.64,0.67,0.69,0.68,0.67,0.68,0.68,0.67,0.70,0.66,0.68,0.67,0.51
Liam,McNeilly,Porsche Carrera Supercup,Carrera Cup,Ombra Racing,2026,14,0.78,GBR,2006/1/1,1742,0.69,0.69,0.63,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.46
Wouter,Boerekamps,Porsche Carrera Supercup,Carrera Cup,Team GP Elite,2026,15,0.78,NLD,1998/01/01,1736,0.69,0.69,0.63,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.44
Paul,Cauhaupe,Porsche Carrera Supercup,Carrera Cup,Martinet by Almeras,2026,16,0.78,FRA,1999/01/01,1730,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.47
Jonas,Greif,Porsche Carrera Supercup,Carrera Cup,Team GP Elite,2026,17,0.72,DEU,2006/01/01,1725,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.43
Filip,Ugran,Porsche Carrera Supercup,Carrera Cup,Ombra Racing,2026,18,0.72,ROU,2002/09/12,1720,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.51
Aldo,Festante,Porsche Carrera Supercup,Carrera Cup,Target Competition,2026,19,0.72,ITA,2000/06/02,1715,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.52
William,Mezzetti,Porsche Carrera Supercup,Carrera Cup,Dinamic Motorsport,2026,20,0.72,ITA,2004/01/01,1710,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.52
Samer,Shahin,Porsche Carrera Supercup,Carrera Cup,Team GP Elite,2026,21,0.72,AUS,1972/01/01,1705,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.44
Kai,Pfister,Porsche Carrera Supercup,Carrera Cup,Proton Competition,2026,22,0.72,DEU,1990/01/01,1700,0.67,0.67,0.60,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.62,0.65,0.64,0.52
Tyler,Maxson,Porsche Carrera Cup North America,Carrera Cup,Topp Racing,2026,1,0.84,USA,2004/11/12,1815,0.74,0.76,0.70,0.71,0.73,0.74,0.71,0.72,0.74,0.73,0.70,0.70,0.74,0.73,0.55
Aaron,Jeansonne,Porsche Carrera Cup North America,Carrera Cup,Kellymoss,2026,2,0.84,USA,1998/1/1,1800,0.73,0.75,0.67,0.70,0.72,0.73,0.70,0.71,0.73,0.72,0.70,0.69,0.73,0.72,0.57
Callum,Hedge,Porsche Carrera Cup North America,Carrera Cup,Kellymoss,2026,3,0.84,NZL,2003/11/17,1810,0.74,0.76,0.70,0.71,0.73,0.74,0.71,0.74,0.74,0.73,0.70,0.72,0.74,0.73,0.48
Tom,Sargent,Porsche Carrera Cup North America,Carrera Cup,GMG Racing,2026,4,0.84,AUS,2002/02/14,1795,0.73,0.75,0.69,0.70,0.72,0.73,0.70,0.73,0.73,0.72,0.70,0.71,0.73,0.72,0.41
Cole,Kleck,Porsche Carrera Cup North America,Carrera Cup,ACI Motorsports,2026,5,0.84,USA,2003/01/01,1785,0.72,0.72,0.66,0.69,0.71,0.72,0.69,0.70,0.72,0.71,0.70,0.68,0.72,0.71,0.52
Jared,Thomas,Porsche Carrera Cup North America,Carrera Cup,JTR Motorsports Engineering,2026,6,0.84,USA,1997/01/01,1780,0.72,0.74,0.66,0.69,0.71,0.72,0.69,0.70,0.72,0.71,0.70,0.68,0.72,0.71,0.55
Connor,Bloum,Porsche Carrera Cup North America,Carrera Cup,ACI Motorsports,2026,7,0.84,USA,2004/01/01,1770,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.69,0.69,0.68,0.70,0.67,0.71,0.70,0.49
Paul,Bocuse,Porsche Carrera Cup North America,Carrera Cup,MDK Motorsports,2026,8,0.84,FRA,1996/01/01,1765,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.69,0.69,0.68,0.70,0.67,0.71,0.70,0.52
JCD,Dubets,Porsche Carrera Cup North America,Carrera Cup,ACI Motorsports,2026,9,0.78,USA,1998/1/1,1760,0.70,0.70,0.64,0.67,0.69,0.70,0.67,0.68,0.68,0.67,0.70,0.66,0.70,0.69,0.52
Janne,Stiak,Porsche Carrera Cup North America,Carrera Cup,ACI Motorsports,2026,10,0.78,DEU,2007/01/01,1755,0.70,0.70,0.64,0.67,0.69,0.70,0.67,0.68,0.68,0.67,0.70,0.66,0.70,0.69,0.57
Sabre,Cook,Porsche Carrera Cup North America,Carrera Cup,JDX Racing,2026,11,0.78,USA,1994/07/30,1750,0.70,0.72,0.64,0.67,0.69,0.68,0.67,0.70,0.70,0.69,0.70,0.68,0.68,0.67,0.46
Alan,Metni,Porsche Carrera Cup North America,Carrera Cup,Kellymoss,2026,12,0.78,USA,1967/10/18,1745,0.69,0.69,0.63,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.54
Patrick,Mulcahy,Porsche Carrera Cup North America,Carrera Cup,Kellymoss,2026,13,0.78,USA,1992/01/01,1735,0.69,0.69,0.63,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.53
Nikita,Lastochkin,Porsche Carrera Cup North America,Carrera Cup,CSM,2026,14,0.78,USA,1990/05/05,1730,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.50
John,Jodoin,Porsche Carrera Cup North America,Carrera Cup,ACI Motorsports,2026,15,0.78,USA,1970/01/01,1725,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.55
Marco,Cirone,Porsche Carrera Cup North America,Carrera Cup,ACI Motorsports,2026,16,0.78,CAN,1960/01/01,1720,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.39
Rob,Walker,Porsche Carrera Cup North America,Carrera Cup,Topp Racing,2026,17,0.72,USA,1975/01/01,1715,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.53
Scott,Blind,Porsche Carrera Cup North America,Carrera Cup,Ruckus Racing,2026,18,0.72,USA,1975/01/01,1710,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.41
Richard,Edge,Porsche Carrera Cup North America,Carrera Cup,ACI Motorsports,2026,19,0.72,USA,1965/01/01,1705,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.48
Kayden,Kelly,Porsche Carrera Cup North America,Carrera Cup,ACI Motorsports,2026,20,0.72,USA,2004/01/01,1700,0.67,0.67,0.60,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.62,0.65,0.64,0.45
James,Sofronas,Porsche Carrera Cup North America,Carrera Cup,GMG Racing,2026,21,0.72,USA,1968/10/04,1700,0.67,0.67,0.60,0.64,0.66,0.65,0.64,0.67,0.65,0.64,0.70,0.65,0.65,0.64,0.56
Steve,Wetterau,Porsche Carrera Cup North America,Carrera Cup,Kellymoss,2026,22,0.72,USA,1960/01/01,1695,0.66,0.66,0.60,0.63,0.65,0.64,0.63,0.64,0.64,0.63,0.70,0.62,0.64,0.63,0.50
Callum,Voisin,Porsche Carrera Cup UK,Carrera Cup,Rosland Gold by Century Motorsport,2026,1,0.84,GBR,2006/03/06,1810,0.74,0.76,0.70,0.71,0.73,0.74,0.71,0.72,0.74,0.73,0.70,0.70,0.74,0.73,0.51
Will,Jenkins,Porsche Carrera Cup UK,Carrera Cup,Team Parker Racing,2026,2,0.84,GBR,2003/01/01,1795,0.73,0.75,0.69,0.70,0.72,0.73,0.70,0.71,0.73,0.72,0.70,0.69,0.73,0.72,0.47
Sid,Smith,Porsche Carrera Cup UK,Carrera Cup,Graves Motorsport,2026,3,0.84,GBR,2005/01/01,1785,0.72,0.74,0.66,0.69,0.71,0.72,0.69,0.70,0.72,0.71,0.70,0.68,0.72,0.71,0.53
Max,Coates,Porsche Carrera Cup UK,Carrera Cup,Graves Motorsport,2026,4,0.84,GBR,1994/1/4,1780,0.72,0.74,0.66,0.69,0.71,0.72,0.69,0.72,0.72,0.71,0.70,0.70,0.72,0.71,0.55
Archie,Clark,Porsche Carrera Cup UK,Carrera Cup,Team Parker Racing,2026,5,0.84,GBR,2004/01/01,1775,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.69,0.71,0.70,0.70,0.67,0.71,0.70,0.50
Isaac,Phelps,Porsche Carrera Cup UK,Carrera Cup,Rosland Gold by Century Motorsport,2026,6,0.84,GBR,2003/01/01,1770,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.69,0.71,0.70,0.70,0.67,0.71,0.70,0.50
Jack,Sherwood,Porsche Carrera Cup UK,Carrera Cup,Team Parker Racing,2026,7,0.84,GBR,2005/01/01,1765,0.71,0.73,0.67,0.68,0.70,0.71,0.68,0.69,0.71,0.70,0.70,0.67,0.71,0.70,0.52
Stephen,Jelley,Porsche Carrera Cup UK,Carrera Cup,XQS Team Parker Racing,2026,8,0.84,GBR,1982/05/12,1760,0.70,0.72,0.64,0.67,0.69,0.70,0.67,0.70,0.70,0.69,0.70,0.68,0.70,0.69,0.53
Ollie,Jackson,Porsche Carrera Cup UK,Carrera Cup,JTR,2026,9,0.78,GBR,1984/04/26,1755,0.70,0.70,0.64,0.67,0.69,0.70,0.67,0.70,0.68,0.67,0.70,0.68,0.70,0.69,0.41
Jacob,Tofts,Porsche Carrera Cup UK,Carrera Cup,Graves Motorsport,2026,10,0.78,GBR,2002/01/01,1745,0.69,0.69,0.63,0.66,0.68,0.69,0.66,0.67,0.67,0.66,0.70,0.65,0.69,0.68,0.53
Oliver,Meadows,Porsche Carrera Cup UK,Carrera Cup,Team Parker Racing,2026,11,0.78,GBR,1983/01/01,1735,0.69,0.69,0.63,0.66,0.68,0.67,0.66,0.69,0.67,0.66,0.70,0.67,0.67,0.66,0.53
Jonathan,Moore,Porsche Carrera Cup UK,Carrera Cup,JTR,2026,12,0.78,GBR,1984/01/01,1730,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.39
Carl,Cavers,Porsche Carrera Cup UK,Carrera Cup,Century Motorsport,2026,13,0.78,GBR,1985/01/01,1725,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.53
Henry,Dawes,Porsche Carrera Cup UK,Carrera Cup,Century Motorsport,2026,14,0.78,GBR,2003/01/01,1720,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.48
Michael,Keohane,Porsche Carrera Cup UK,Carrera Cup,Century Motorsport,2026,15,0.78,IRL,2004/01/01,1715,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.43
