name,principal,driver_loyalty,expectation_level,performance_rating,engineering_weight,engineering_drag,engineering_power
2 Seas Motorsport,2 Seas Motorsport,,,,,,
23Events Racing,23Events Racing,,,,,,
2B Autosport,2B Autosport,,,,,,
89x Motorsport,89x Motorsport,,,,,,
ACI Motorsports,ACI Motorsports,,,,,,
AF Corse,Amato Ferrari,,,,,,
AF Corse USA,Amato Ferrari,,,,,,
ANS Motorsport,ANS Motorsport,,,,,,
ANSA Motorsports,ANSA Motorsports,,,,,,
AO Racing,Gunnar Jeannette,,,,,,
ART-Line,ART-Line,,,,,,
AReeve Motorsport,AReeve Motorsport,,,,,,
AV Racing by Black Falcon,AV Racing by Black Falcon,,,,,,
Accelerating Performance,Accelerating Performance,,,,,,
Acura Meyer Shank Racing,Mike Shank,,,,,,
Akkodis ASP Team,Jerome Policand,,,,,,
Algarve Pro Racing,Algarve Pro Racing,,,,,,
Allay Racing,Allay Racing,,,,,,
Alliance Racing,Alliance Racing,,,,,,
Alpine Endurance Team,Philippe Sinault,,,,,,
Archangel Motorsports,Archangel Motorsports,,,,,,
Arise Racing GT,Barry Ryan,,,,,,
Aston Martin THOR Team,Ian James,,,,,,
Atlantic Racing Team,Atlantic Racing Team,,,,,,
Aust Motorsport,Aust Motorsport,,,,,,
Auto Sport Racing Service,Auto Sport Racing Service,,,,,,
Auto Technic Racing,Auto Technic Racing,,,,,,
BDR Competition by Grupo Prom,BDR Competition by Grupo Prom,,,,,,
BGB Motorsports,BGB Motorsports,,,,,,
BMW M Team WRT,Vincent Vosse,,,,,,
BSI Racing,BSI Racing,,,,,,
BWT Lechner Racing,BWT Lechner Racing,,,,,,
BWT Mucke Motorsport,BWT Mucke Motorsport,,,,,,
Baker Racing,Baker Racing,,,,,,
Barwell Motorsport,Barwell Motorsport,,,,,,
Beechdean Motorsport,Beechdean Motorsport,,,,,,
Biogas Motorsport,Biogas Motorsport,,,,,,
Boutsen VDS,Olivia Boutsen,,,,,,
Bryan Herta Autosport with PR1/Mathiasen,Bryan Herta,,,,,,
CLX Motorsport,CLX Motorsport,,,,,,
CMR,CMR,,,,,,
CSA Racing,Jerome Policand,,,,,,
CSM,CSM,,,,,,
Cadillac Hertz Team Jota,Sam Hignett,,,,,,
Cadillac Wayne Taylor Racing,Wayne Taylor,,,,,,
Cadillac Whelen,Gary Nelson,,,,,,
Car Collection Motorsport,Car Collection Motorsport,,,,,,
CarBahn with Peregrine Racing,CarBahn with Peregrine Racing,,,,,,
Caumes Armatures Bourgoin,Caumes Armatures Bourgoin,,,,,,
Century Motorsport,Century Motorsport,,,,,,
Cerny Motorsport,Cerny Motorsport,,,,,,
Chicago Performance and Tuning,Chicago Performance and Tuning,,,,,,
Chouest Povoledo Racing,Chouest Povoledo Racing,,,,,,
Classic & Speed,Classic & Speed,,,,,,
Coastal Racing,Coastal Racing,,,,,,
Code Racing Development,Code Racing Development,,,,,,
