name,principal,driver_loyalty,expectation_level,performance_rating,engineering_weight,engineering_drag,engineering_power
A. J. Foyt Racing,Larry Foyt,,,,,,
Abel Motorsports,Bill Abel,,,,,,
Adria Motorsport Venture,Matteo Valenti,,,,,,
Alpine,Steve Nielsen,,,,,,
Alpine Track Operations,Olivier Bernard,,,,,,
Andretti Global,Dan Towriss,,,,,,
Apex Precision Competizione,Lars Eriksen,,,,,,
Apex-Works North,Michael Ashworth,,,,,,
Aragon Motorsport United,Javier Solana,,,,,,
Arcane Racing Group,Jasper van der Meer,,,,,,
Aston Martin,Andy Cowell,,,,,,
Astraea Endurance,Eleni Papadakis,,,,,,
Atlantic Racing Union,Liam O'Connor,,,,,,
Atlas Racing Group,Dimitri Volkov,,,,,,
Audi,Jonathan Wheatley,,,,,,
Bayside Trackside Services,Tommy Sullivan,,,,,,
Blackwood Racing Systems,Marco Bianchi,,,,,,
Blue Ridge Mini Team,Tyler Brooks,,,,,,
Breakell-Lane Engineering,Peter Breakell,,,,,,
Brickyard Performance Lab,Alan Foster,,,,,,
Cape Motorsports,Nicholas Cape,,,,,,
Catalyst Motorsports,Adriana Silva,,,,,,
Cavalieri Rosso Group,William Kowalski,,,,,,
Chip Ganassi Racing,Chip Ganassi,,,,,,
Circuitus Legacy Racing,Maria Gonzales,,,,,,
Cote d'Azur Competizione,Fabien de Rossi,,,,,,
Cotswold Precision Racing,Sarah Mitchell,,,,,,
Cusick Morgan Motorsports,Don Cusick,,,,,,
Dale Coyne Racing,Dale Coyne,,,,,,
Dreyer & Reinbold Racing,Dennis Reinbold,,,,,,
Ecurie Belge Developpement,Guy Hendrickx,,,,,,
Ed Carpenter Racing,Ed Carpenter,,,,,,
Eiger Sport Management,Stefan Müller,,,,,,
Elysium GT Racing,Alexander Hayes,,,,,,
Exotic Motors Alliance,Robert Harrison,,,,,,
Flint Hills Raceworks,Caleb Sterling,,,,,,
Fox-Davies Preparations,Robert Fox-Davies,,,,,,
Garnet Motorsport,Amanda Pearson,,,,,,
Garrison-Hague Motorsport,Alistair Hague,,,,,,
Golden Gate Racing Group,Jennifer Chen,,,,,,
Granite State Garage,Dale Winters,,,,,,
Gulf Coast Competition,Miguel Rodriguez,,,,,,
Haas,Ayao Komatsu,,,,,,
Helvetia Junior Team,Stefan Eberhard,,,,,,
Heritage Racing Collective,James Patterson,,,,,,
High Plains Speedworks,Marcus Webb,,,,,,
HMD Motorsports,Mike Maurini,,,,,,
Ironwood Performance,Olivia Zhang,,,,,,
Juncos Hollinger Racing,Ricardo Juncos,,,,,,
Kaiser-Wolff Racing,Pieter van Dijk,,,,,,
Kinetix European Racing,Lukas Bergmann,,,,,,
Lemanic Motorsport,Christophe Dumont,,,,,,
Liberty Motorsports,Benjamin Wright,,,,,,
Lone Star Aero-Sport,Carson Hayes,,,,,,
Loomis-Vance Racing,Sterling Vance,,,,,,
Luzern Precision Engineering,Beat Steiner,,,,,,
Maranello Global Partners,David Chen,,,,,,
McLaren Racing,Zac Brown,,,,,,
Mercedes-AMG,Toto Wolff,,,,,,
Meridian Cup Racing,Christopher Wade,,,,,,
Meyer Shank Racing,Michael Shank,,,,,,
Nexus Prototype Racing,Elena Rodriguez,,,,,,
Nordic Speed Academy,Søren Lindberg,,,,,,
Nova Aero,Yuki Tanaka,,,,,,
Olympus Euro-Racing,Adonis Karalis,,,,,,
Orion Automotive,Wolfgang Bauer,,,,,,
Palmetto State Racing,Travis Coleman,,,,,,
Pannonian Speed Group,László Kovács,,,,,,
Pendle Hill Motorsport,Andrew Harrison,,,,,,
Prema Racing,Piers Phillips,,,,,,
Racing Bulls,Alan Permane,,,,,,
Rahal Letterman Lanigan Racing,Bobby Rahal,,,,,,
Red Bull Racing,Laurent Mekies,,,,,,
Reinhardt Rennsport,Klaus Reinhardt,,,,,,
Rennsport Global Division,Reiner Wenzel,,,,,,
Sawgrass Performance Group,Elena Rodriguez,,,,,,
Schwarzwald Racing Group,Kristina Novak,,,,,,
Scuderia Corsa International,Anthony Russo,,,,,,
Scuderia Ferrari,Frédéric Vasseur,,,,,,
Scuderia Valeriani,Luca Valeriani,,,,,,
Solari Motorworks,Marcus Thornhill,,,,,,
Sovereign GT Stable,Alistair Thorne,,,,,,
Sterling Performance Group,James Sterling,,,,,,
Stuttgart Performance Engineering,Sebastian Wolff,,,,,,
Summit Peak Motorsports,Rebecca Sawyer,,,,,,
TCR,David Thompson,,,,,,
Team Penske,Jonathan Diuguid,,,,,,
Thames Valley Preparations,Arthur Miller,,,,,,
The 405 Garage,James McAllister,,,,,,
Titanium Endurance Racing,Laurent Beaumont,,,,,,
Tridente Global Competizione,Thomas Wright,,,,,,
Vanguard Motorsport Group,Sebastian Wolff,,,,,,
Vauquelin Grand Prix,Marc-André Vauquelin,,,,,,
Vector Dynamics Racing,Pierre Lefèvre,,,,,,
Velocity UK Developments,Emma Richardson,,,,,,
Via-Marelli Competizione,Isabella Marelli,,,,,,
Vistula Racing Lab,Mateusz Zieliński,,,,,,
Vitesse Pro-Racing,Jean-Paul Laurent,,,,,,
Williams Racing,James Vowles,,,,,,
Zenith Autosport,James Harrington,,,,,,
