team_name,category,model,livery,championship_names,livery_id,model_folder
KTF Sports,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #01,Old Stock Race,51,opala_oldstock
KTF Sports,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #2,Old Stock Race,52,opala_oldstock
KTF Sports,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #3,Old Stock Race,53,opala_oldstock
Pole Motorsport,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #6,Old Stock Race,54,opala_oldstock
Pole Motorsport,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #9,Old Stock Race,55,opala_oldstock
Pole Motorsport,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #11,Old Stock Race,56,opala_oldstock
TMG Racing,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #17,Old Stock Race,57,opala_oldstock
TMG Racing,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #18,Old Stock Race,58,opala_oldstock
TMG Racing,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #22,Old Stock Race,59,opala_oldstock
Cavaleiro Sports,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #23,Old Stock Race,60,opala_oldstock
Cavaleiro Sports,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #45,Old Stock Race,61,opala_oldstock
Cavaleiro Sports,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #51,Old Stock Race,62,opala_oldstock
Eurofarma RC,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #54,Old Stock Race,63,opala_oldstock
Eurofarma RC,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #64,Old Stock Race,64,opala_oldstock
Eurofarma RC,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #77,Old Stock Race,65,opala_oldstock
RCM Motorsport,OldStock,Chevrolet Opala Old Stock Race,Opala Old Stock Race #78,Old Stock Race,66,opala_oldstock
