championship_name,track_id,name,month,week_end,mandatory,type,duration,start_time
Old Stock Race,Brasilia_Outer,Autódromo Internacional de Brasília (Outer),3,1,TRUE,time,30,
Old Stock Race,Interlagos_GP,Autódromo José Carlos Pace,4,1,TRUE,time,30,
Old Stock Race,Interlagos_GP,Autódromo José Carlos Pace,5,1,FALSE,time,30,
Old Stock Race,Cascavel2,Autódromo Internacional Zilmar Beux de Cascavel,5,2,FALSE,time,30,
Old Stock Race,GoianiaOuter,Autódromo Internacional Ayrton Senna (Goiânia),6,1,TRUE,time,30,
Old Stock Race,Interlagos_GP,Autódromo José Carlos Pace,6,2,FALSE,time,30,
Old Stock Race,VeloCitta1,Autódromo Velo Città,6,3,FALSE,time,30,
Old Stock Race,Interlagos_GP,Autódromo José Carlos Pace,7,2,FALSE,time,30,
Old Stock Race,Taruma_Internacional,Autódromo Internacional de Tarumã,7,3,FALSE,time,30,
Old Stock Race,Brasilia_Full,Autódromo Internacional de Brasília (Full),8,2,TRUE,time,30,
Old Stock Race,Curitiba_outer,Autódromo Internacional de Curitiba,9,2,TRUE,time,30,
Stock Car Pro Series,GoianiaOuter,GP das Esmeraldas,3,1,FALSE,time,50,
Stock Car Pro Series,VeloCitta1,GP de Velo Città,3,3,FALSE,time,50,
Stock Car Pro Series,Interlagos_SCB,GP de São Paulo,4,1,FALSE,time,50,
Stock Car Pro Series,Brasilia_Full,GP do Brasil,4,3,FALSE,time,50,
Stock Car Pro Series,Cascavel2,GP de Cascavel,5,1,FALSE,time,50,
Stock Car Pro Series,Guapore,GP de Guaporé,5,3,FALSE,time,50,
Stock Car Pro Series,Velopark_2017,GP de Velopark,6,1,FALSE,time,50,
Stock Car Pro Series,Buenos_Aires_Circuito_9,GP de Buenos Aires,6,3,FALSE,time,50,
Stock Car Pro Series,Taruma_Internacional,GP de Tarumã,7,2,FALSE,time,50,
Stock Car Pro Series,SantaCruzDoSul,GP de Santa Cruz,8,3,FALSE,time,50,
Stock Car Pro Series,Brasilia_Outer,GP de Brasília,9,2,FALSE,time,50,
Stock Car Pro Series,GoianiaMixed,GP de Goiânia,9,3,FALSE,time,50,
Stock Car Pro Series,CurveloLong,GP dos Cristais,10,1,FALSE,time,50,
Stock Car Pro Series,VeloCitta1,GP de Mogi Guaçu,10,3,FALSE,time,50,
Stock Car Pro Series,CampoGrande1,GP de Campo Grande,11,1,FALSE,time,50,
Stock Car Pro Series,Londrina_long,GP de Londrina,11,3,FALSE,time,50,
Stock Car Pro Series,Interlagos_SCB,Super Final BRB,12,2,TRUE,time,50,
NASCAR Brasil Series,Interlagos_SCB,GP de São Paulo,3,3,FALSE,time,25,
NASCAR Brasil Series,Curitiba_outer,GP de Curitiba,4,1,FALSE,time,25,
NASCAR Brasil Series,Londrina_long,GP de Londrina,4,3,FALSE,time,25,
NASCAR Brasil Series,GoianiaMixed,GP de Goiânia,5,1,FALSE,time,25,
NASCAR Brasil Series,Taruma_Internacional,GP de Tarumã,5,3,FALSE,time,25,
NASCAR Brasil Series,Brasilia_Outer,GP de Brasília,6,1,FALSE,time,25,
NASCAR Brasil Series,Cascavel2,GP de Cascavel,6,3,FALSE,time,25,
NASCAR Brasil Series,SantaCruzDoSul,GP de Santa Cruz,7,1,FALSE,time,25,
NASCAR Brasil Series,VeloCitta1,GP de Velo Città,7,3,FALSE,time,25,
NASCAR Brasil Series,Sebring,Sebring GP,8,1,FALSE,time,25,
NASCAR Brasil Series,CuritibaInternacional,GP do Paraná,8,3,FALSE,time,25,
NASCAR Brasil Series,GoianiaOuter,GP das Esmeraldas,9,1,FALSE,time,25,
NASCAR Brasil Series,Interlagos_SCB,GP Nacional,9,3,FALSE,time,25,
NASCAR Brasil Series,CampoGrande1,GP de Campo Grande,10,1,FALSE,time,25,
NASCAR Brasil Series,CurveloLong,GP dos Cristais,10,3,FALSE,time,25,
NASCAR Brasil Series,VeloCitta1,GP de Mogi Guaçu,11,2,FALSE,time,25,
NASCAR Brasil Series,Brasilia_Full,Grande Final,12,1,TRUE,time,25,
Stock Light Brasil,VeloCitta1,Grande Prêmio VeloCitta,3,1,FALSE,time,40,
