name,principal,driver_loyalty,expectation_level,performance_rating,engineering_weight,engineering_drag,engineering_power
23XI Racing,Michael Jordan,,,,,,
ACR Motorsports,ACR Motorsports,,,,,,
AM Racing,AM Racing,,,,,,
AMattheis TMG,Andreas Mattheis,,,,,,
AMattheis Vogel,Andreas Mattheis,,,,,,
Academy Motorsport,Academy Motorsport,,,,,,
Alpha Prime Racing,Alpha Prime Racing,,,,,,
Alumitec Racing,Alumitec Racing,,,,,,
Artcon Racing,Artcon Racing,,,,,,
Beard Motorsports,Linda Beard,,,,,,
Big Machine Racing,Big Machine Racing,,,,,,
Blau Motorsport,Marcelo Hahn,,,,,,
Brad Smith Motorsports,Brad Smith Motorsports,,,,,,
Bremotion,Bremotion,,,,,,
CAR Racing,CAR Racing,,,,,,
CR7 Motorsports,CR7 Motorsports,,,,,,
Cavaleiro Sports,Beto Cavaleiro,,,,,,
Clubb Racing Inc.,Clubb Racing Inc.,,,,,,
Crown Racing,William Lube,,,,,,
DGM Racing,DGM Racing,,,,,,
Eurofarma RC,Rosinei Campos,,,,,,
Fast Track Racing,Fast Track Racing,,,,,,
Front Row Motorsports,Bob Jenkins,,,,,,
Full Time Bassani,Eduardo Bassani,,,,,,
Full Time Gazoo Racing,Full Time Sports,,,,,,
Full Time Sports,Full Time Sports,,,,,,
Garra Racing,Garra Racing,,,,,,
Haas Factory Team,Joe Custer,,,,,,
Hendrick Motorsports,Rick Hendrick,,,,,,
Hendriks Motorsport,Hendriks Motorsport,,,,,,
Hyak Motorsports,Gordon Smith,,,,,,
Innovation Racing,Innovation Racing,,,,,,
Ipiranga Racing,Diego Ramos,,,,,,
JR Motorsports,Dale Earnhardt Jr.,,,,,,
Jan's Towing Racing with Kennealy Keller Motorsports,Jan's Towing Racing with Kennealy Keller Motorsports,,,,,,
Jeremy Clements Racing,Jeremy Clements Racing,,,,,,
Joe Gibbs Racing,Joe Gibbs,,,,,,
Jordan Anderson Racing,Jordan Anderson Racing,,,,,,
KLAS Motorsports,KLAS Motorsports,,,,,,
KTF Racing,Leandro Reis,,,,,,
KTF Sports,Paulo Reales,,,,,,
Kaulig Racing,Matt Kaulig,,,,,,
Kimmel Racing,Kimmel Racing,,,,,,
Legacy Motor Club,Jimmie Johnson,,,,,,
Lux Motorsport,Lux Motorsport,,,,,,
MBM Motorsports,MBM Motorsports,,,,,,
MForce,MForce,,,,,,
MOBIL ALE,Andrea Gomes,,,,,,
Maples Motorsports,Maples Motorsports,,,,,,
Marko Stipp Motorsport,Marko Stipp Motorsport,,,,,,
Mercado Livre Racing,AMattheis Motorsport,,,,,,
Mercado Livre Racing Team,Mercado Livre Racing,,,,,,
Nascimento Motorsports,Nascimento Motorsports,,,,,,
Nitro Motorsports,Nitro Motorsports,,,,,,
PK Carsport,PK Carsport,,,,,,
Pinnacle Racing Group,Pinnacle Racing Group,,,,,,
Pole Motorsport,Joselmo Barcik,,,,,,
RCM Motorsport,Marcel Campos,,,,,,
RDV Competition,RDV Competition,,,,,,
RFK Racing,Brad Keselowski,,,,,,
RSS Racing,RSS Racing,,,,,,
RTR Sport Team,RTR Sport Team,,,,,,
Race Art Technology,Race Art Technology,,,,,,
Rette Jones Racing,Rette Jones Racing,,,,,,
Richard Childress Racing,Richard Childress,,,,,,
Rick Ware Racing,Rick Ware,,,,,,
Rise Racing,Rise Racing,,,,,,
SG28 Racing,SG28 Racing,,,,,,
SPS Racing,SPS Racing,,,,,,
SS-Green Light Racing,SS-Green Light Racing,,,,,,
Sam Hunt Racing,Sam Hunt Racing,,,,,,
Scuderia Bandeiras,Scuderia Bandeiras,,,,,,
Scuderia Bandeiras Sports,Scuderia Bandeiras,,,,,,
Scuderia Chiarelli,Carlos Chiarelli,,,,,,
SpeedHouse,SpeedHouse,,,,,,
Spire Motorsports,Jeff Dickerson,,,,,,
Sterling Racing,Sterling Racing,,,,,,
TMG Racing,Thiago Meneghel,,,,,,
TRICON Garage,TRICON Garage,,,,,,
Team Penske,Jonathan Diuguid,,,,,,
Team RC,Rosinei Campos,,,,,,
The Club Motorsport,The Club Motorsport,,,,,,
Trackhouse Racing,Justin Marks,,,,,,
Valda Cavaleiro Sports,Valda Cavaleiro Sports,,,,,,
Vogel Motorsport,Mauro Vogel,,,,,,
Wokin Garra Racing,Carlos Ortiz,,,,,,
Wood Brothers Racing,Eddie Wood,,,,,,
Young's Motorsports,Young's Motorsports,,,,,,
w2 ProGP,w2 ProGP,,,,,,
